Trial#,Sequence#,Response Time,Trial Type(mean-std),Shade,Resp,Missed,Reply,Accumulated Amount
1,6,2.607(s),Control_Trial(3-1),2 & 3,1,0,1,$0.1
2,6,1.63(s),Control_Trial(3-1),3 & 2,1,0,1,$0.2
3,6,1.354(s),Control_Trial(3-1),3 & 4,1,0,1,$0.3
4,6,2.211(s),Control_Trial(3-1),3 & 4,1,0,1,$0.4
5,6,2.602(s),Control_Trial(3-1),3 & 4,1,0,1,$0.5
6,6,2.112(s),Control_Trial(3-1),2 & 3,-1,0,0,$0.25
7,6,1.805(s),Control_Trial(3-1),3 & 4,1,0,1,$0.35
8,6,1.932(s),Control_Trial(3-1),4 & 3,1,0,1,$0.45
9,6,1.215(s),Control_Trial(3-1),2 & 3,1,0,1,$0.55
10,6,1.436(s),Control_Trial(3-1),3 & 2,1,0,1,$0.65
11,6,1.471(s),Control_Trial(3-1),3 & 4,1,0,1,$0.75
12,6,3.101(s),Control_Trial(3-1),3 & 4,-1,0,0,$0.5
13,6,2.05(s),Control_Trial(3-1),3 & 2,1,0,1,$0.6
14,6,1.295(s),Control_Trial(3-1),3 & 4,1,0,1,$0.7
15,6,1.357(s),Control_Trial(3-1),3 & 2,1,0,1,$0.8
16,6,1.515(s),Control_Trial(3-1),3 & 4,1,0,1,$0.9
17,6,2.563(s),Control_Same_Color_Trial(3-1),3 & 3,0,0,0.5,$0.65
18,6,1.062(s),Control_Trial(3-1),3 & 2,1,0,1,$0.75
19,6,1.267(s),Control_Trial(3-1),3 & 2,1,0,1,$0.85
20,6,0.868(s),Control_Trial(3-1),3 & 4,1,0,1,$0.95
21,6,1.392(s),Control_Trial(3-1),3 & 4,1,0,1,$1.05
22,6,1.802(s),Control_Trial(3-1),3 & 4,1,0,1,$1.15
23,6,2.489(s),Control_Trial(3-1),3 & 4,1,0,1,$1.25
24,6,1.181(s),Control_Trial(3-1),3 & 2,1,0,1,$1.35
25,6,1.125(s),Control_Trial(3-1),3 & 4,1,0,1,$1.45
26,6,1.818(s),Control_Trial(3-1),3 & 4,1,0,1,$1.55
27,6,1.08(s),Control_Trial(3-1),3 & 4,1,0,1,$1.65
28,6,1.026(s),Control_Trial(3-1),4 & 3,1,0,1,$1.75
29,6,0.864(s),Control_Trial(3-1),4 & 3,1,0,1,$1.85
30,6,1.431(s),Control_Trial(3-1),3 & 2,1,0,1,$1.95
31,6,1.795(s),Control_Same_Color_Trial(3-1),2 & 2,1,0,1,$2.05
32,6,1.063(s),Control_Trial(3-1),3 & 2,1,0,1,$2.15
33,6,0.936(s),Control_Trial(3-1),4 & 3,1,0,1,$2.25
34,6,2.78(s),Control_Same_Color_Trial(3-1),4 & 4,0,0,0.5,$2
35,6,0.967(s),Control_Trial(3-1),3 & 2,1,0,1,$2.1
36,6,2.108(s),Control_Trial(3-1),3 & 2,1,0,1,$2.2
37,6,2.236(s),Control_Trial(3-1),3 & 4,1,0,1,$2.3
38,6,1.113(s),Control_Trial(3-1),3 & 2,1,0,1,$2.4
39,6,0.983(s),Control_Trial(3-1),2 & 3,1,0,1,$2.5
40,6,1.24(s),Control_Trial(3-1),3 & 4,1,0,1,$2.6
41,6,2.81(s),Control_Same_Color_Trial(3-1),4 & 4,1,0,1,$2.7
42,6,2.508(s),Control_Trial(3-1),3 & 4,1,0,1,$2.8
43,6,1.05(s),Control_Same_Color_Trial(3-1),4 & 4,0,0,0.5,$2.55
44,6,1.416(s),Control_Trial(3-1),3 & 2,1,0,1,$2.65
45,6,0.817(s),Control_Trial(3-1),3 & 4,1,0,1,$2.75
46,6,1.279(s),Control_Test_Trial(3-1),2 & 3,1,0,1,$2.85
47,6,1.265(s),Adpative_Test_Trial(9-1),10 & 9,1,0,1,$2.95
48,0,2.386(s),Adpative_Same_Color_Trial(3-1),4 & 4,1,0,1,$3.05
49,0,1.353(s),Adpative_Trial(3-1),3 & 2,1,0,1,$3.15
50,0,0.748(s),Adpative_Trial(3-1),3 & 4,1,0,1,$3.25
51,0,2.644(s),Adpative_Same_Color_Trial(3-1),3 & 3,1,0,1,$3.35
52,0,1.195(s),Adpative_Trial(3-1),3 & 4,1,0,1,$3.45
53,0,0.89(s),Adpative_Trial(3-1),3 & 2,1,0,1,$3.55
54,0,1.801(s),Adpative_Trial(3-1),3 & 2,1,0,1,$3.65
55,0,1.236(s),Adpative_Same_Color_Trial(3-1),2 & 2,1,0,1,$3.75
56,0,0.819(s),Adpative_Trial(3-1),3 & 2,1,0,1,$3.85
57,0,1.204(s),Adpative_Trial(3-1),4 & 3,1,0,1,$3.95
58,0,0.932(s),Adpative_Trial(3-1),3 & 4,1,0,1,$4.05
59,0,1.802(s),Adpative_Trial(3-1),2 & 3,1,0,1,$4.15
60,0,0.756(s),Adpative_Trial(3-1),3 & 2,1,0,1,$4.25
61,0,0.771(s),Adpative_Trial(3-1),3 & 4,1,0,1,$4.35
62,0,2.104(s),Adpative_Trial(3-1),2 & 3,1,0,1,$4.45
63,0,0.933(s),Adpative_Trial(3-1),3 & 4,1,0,1,$4.55
64,0,3.163(s),Adpative_Trial(3-1),3 & 4,-1,0,0,$4.3
65,0,1.257(s),Adpative_Trial(3-1),3 & 4,1,0,1,$4.4
66,0,0.867(s),Adpative_Trial(3-1),3 & 4,1,0,1,$4.5
67,0,0.66(s),Adpative_Same_Color_Trial(3-1),4 & 4,0,0,0.5,$4.25
68,0,0.923(s),Adpative_Trial(3-1),2 & 3,1,0,1,$4.35
69,0,0.679(s),Adpative_Trial(3-1),4 & 3,1,0,1,$4.45
70,0,1.769(s),Adpative_Trial(3-1),3 & 2,1,0,1,$4.55
71,0,0.725(s),Adpative_Trial(3-1),3 & 2,1,0,1,$4.65
72,0,0.609(s),Adpative_Trial(3-1),2 & 3,1,0,1,$4.75
73,0,0.583(s),Adpative_Trial(3-1),4 & 3,1,0,1,$4.85
74,0,2.665(s),Adpative_Same_Color_Trial(3-1),2 & 2,0,0,0.5,$4.6
75,0,0.824(s),Adpative_Trial(3-1),4 & 3,1,0,1,$4.7
76,0,0.716(s),Adpative_Trial(3-1),3 & 4,1,0,1,$4.8
77,0,0.9(s),Adpative_Trial(3-1),3 & 2,1,0,1,$4.9
78,0,0.556(s),Adpative_Trial(3-1),3 & 4,1,0,1,$5
79,0,1.514(s),Adpative_Trial(3-1),3 & 4,1,0,1,$5.1
80,0,1.977(s),Adpative_Trial(3-1),2 & 3,1,0,1,$5.2
81,0,0.692(s),Adpative_Trial(3-1),4 & 3,1,0,1,$5.3
82,0,1.21(s),Adpative_Trial(3-1),3 & 4,1,0,1,$5.4
83,0,0.807(s),Adpative_Trial(3-1),3 & 2,1,0,1,$5.5
84,0,0.78(s),Adpative_Trial(3-1),4 & 3,1,0,1,$5.6
85,0,1.786(s),Adpative_Trial(3-1),3 & 4,1,0,1,$5.7
86,0,0.794(s),Adpative_Trial(3-1),3 & 2,1,0,1,$5.8
87,0,1.208(s),Adpative_Trial(3-1),3 & 2,1,0,1,$5.9
88,0,0.737(s),Adpative_Trial(3-1),3 & 4,1,0,1,$6
89,0,1.279(s),Adpative_Trial(3-1),3 & 2,1,0,1,$6.1
90,0,1.428(s),Adpative_Trial(3-1),3 & 2,1,0,1,$6.2
91,0,1.624(s),Adpative_Trial(3-1),4 & 3,1,0,1,$6.3
92,0,1.467(s),Adpative_Trial(3-1),4 & 3,1,0,1,$6.4
93,0,0.797(s),Control_Test_Trial(3-1),3 & 4,1,0,1,$6.5
94,0,1.109(s),Adpative_Test_Trial(10-1),10 & 11,-1,0,0,$6.25
95,7,0.904(s),Control_Trial(3-2),4 & 3,1,0,1,$6.35
96,7,2.235(s),Control_Trial(3-2),5 & 4,1,0,1,$6.45
97,7,1.41(s),Control_Trial(3-2),3 & 4,1,0,1,$6.55
98,7,0.922(s),Control_Trial(3-2),2 & 1,1,0,1,$6.65
99,7,1.857(s),Control_Same_Color_Trial(3-2),1 & 1,1,0,1,$6.75
100,7,0.89(s),Control_Trial(3-2),3 & 2,1,0,1,$6.85
101,7,0.658(s),Control_Trial(3-2),1 & 2,1,0,1,$6.95
102,7,1.048(s),Control_Trial(3-2),4 & 5,1,0,1,$7.05
103,7,3.177(s),Control_Same_Color_Trial(3-2),4 & 4,0,0,0.5,$6.8
104,7,1.004(s),Control_Same_Color_Trial(3-2),2 & 2,1,0,1,$6.9
105,7,0.651(s),Control_Trial(3-2),2 & 3,1,0,1,$7
106,7,0.98(s),Control_Trial(3-2),3 & 4,1,0,1,$7.1
107,7,1.134(s),Control_Trial(3-2),2 & 1,1,0,1,$7.2
108,7,0.908(s),Control_Trial(3-2),5 & 4,1,0,1,$7.3
109,7,2.506(s),Control_Trial(3-2),4 & 3,1,0,1,$7.4
110,7,0.803(s),Control_Trial(3-2),1 & 2,1,0,1,$7.5
111,7,1.004(s),Control_Trial(3-2),3 & 4,1,0,1,$7.6
112,7,0.778(s),Control_Trial(3-2),2 & 1,1,0,1,$7.7
113,7,0.697(s),Control_Trial(3-2),3 & 4,1,0,1,$7.8
