participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.payoff_plus_participation_fee,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.real_world_currency_per_point,session.config.participation_fee,tt.1.player.id_in_group,tt.1.player.treatment,tt.1.player.context,tt.1.player.random_decision,tt.1.player.random_input,tt.1.player.choice,tt.1.player.order,tt.1.player.severity,tt.1.player.reputation,tt.1.player.choice_1,tt.1.player.choice_2,tt.1.player.choice_3,tt.1.player.choice_4,tt.1.player.choice_5,tt.1.player.belief_1,tt.1.player.belief_2,tt.1.player.belief_3,tt.1.player.belief_4,tt.1.player.belief_5,tt.1.player.payoff,tt.1.group.id_in_subsession,tt.1.subsession.round_number,wordscra.1.player.id_in_group,wordscra.1.player.word1_1,wordscra.1.player.word1_2,wordscra.1.player.word1_3,wordscra.1.player.word1_4,wordscra.1.player.word1_5,wordscra.1.player.word2_1,wordscra.1.player.word2_2,wordscra.1.player.word2_3,wordscra.1.player.word3_1,wordscra.1.player.word3_2,wordscra.1.player.word3_3,wordscra.1.player.word3_4,wordscra.1.player.word3_5,wordscra.1.player.word3_6,wordscra.1.player.word4_1,wordscra.1.player.word4_2,wordscra.1.player.word4_3,wordscra.1.player.word4_4,wordscra.1.player.word4_5,wordscra.1.player.word5_1,wordscra.1.player.word5_2,wordscra.1.player.word5_3,wordscra.1.player.word5_4,wordscra.1.player.word5_5,wordscra.1.player.word6_1,wordscra.1.player.word6_2,wordscra.1.player.word6_3,wordscra.1.player.word6_4,wordscra.1.player.payoff,wordscra.1.group.id_in_subsession,wordscra.1.subsession.round_number,postexp.1.player.id_in_group,postexp.1.player.finlit_1,postexp.1.player.finlit_2,postexp.1.player.finlit_3,postexp.1.player.finlit_4,postexp.1.player.finlit_5,postexp.1.player.risk_aversion1,postexp.1.player.risk_aversion2,postexp.1.player.pref1_1,postexp.1.player.pref1_2,postexp.1.player.pref1_3,postexp.1.player.pref1_4,postexp.1.player.pref2_1,postexp.1.player.pref2_2,postexp.1.player.pref2_3,postexp.1.player.crt4,postexp.1.player.crt5,postexp.1.player.crt6,postexp.1.player.crt7,postexp.1.player.age,postexp.1.player.female,postexp.1.player.income,postexp.1.player.education,postexp.1.player.jobfunction,postexp.1.player.jobfunctiongp,postexp.1.player.investment,postexp.1.player.whichinvestment,postexp.1.player.finnews,postexp.1.player.comments,postexp.1.player.matrikelnr,postexp.1.player.rate,postexp.1.player.random_code,postexp.1.player.payoff,postexp.1.group.id_in_subsession,postexp.1.subsession.round_number
11,xb9ymkpk,,0,1,12,tt,Instructions,2020-01-14 14:53:59.077519+00:00,1,,,0,0,o75chhp9,,,,,,0,1,0,11,sh_sev_fin,abstract,1,choice_1,,,,,,,,,,,,,,,0,1,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
12,u0m63z3l,,0,12,12,postexp,Results,2020-01-14 15:28:13.409299+00:00,1,,,5,5,o75chhp9,,,,,,0,1,0,12,sh_sev_fin,abstract,4,choice_4,1,1,7,6,1,1,1,1,1,90,90,90,90,100,5,1,1,12,c,l,o,c,k,c,a,t,c,h,o,k,e,r,m,o,n,e,y,T,h,i,n,k,B,a,n,d,0,1,1,12,,,,,,4,,3,3,3,3,3,4,3,,,,,20,1,,3,,,0,,2,,11829077,5,1794t,0,1,1
13,7ogi5cj6,,0,1,12,tt,Instructions,2020-01-14 15:29:17.500861+00:00,1,,,0,0,o75chhp9,,,,,,0,1,0,13,sh_sev_fin,abstract,2,choice_2,,,,,,,,,,,,,,,0,1,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
14,fo864b4v,,0,12,12,postexp,Results,2020-01-14 15:29:20.201217+00:00,1,,,5,5,o75chhp9,,,,,,0,1,0,14,sh_sev_fin,abstract,4,choice_4,1,0,4,2,1,1,1,1,0,100,100,100,100,100,5,1,1,14,S,t,o,c,k,C,a,t,B,r,o,k,e,r,M,o,n,e,y,T,h,i,n,g,B,u,n,d,0,1,1,14,,,,,,3,,6,2,4,5,7,2,1,,,,,29,1,,4,,,0,,0,,917581,3,7253Y,0,1,1
15,59xl6wlp,,0,12,12,postexp,Results,2020-01-14 15:40:53.213858+00:00,1,,,5,5,o75chhp9,,,,,,0,1,0,15,sh_sev_fin,abstract,1,choice_1,1,1,2,2,1,1,1,1,0,97,98,98,99,100,5,1,1,15,s,h,o,c,k,h,a,t,c,h,o,k,e,r,h,o,n,e,y,T,h,i,n,g,B,o,n,d,0,1,1,15,,,,,,4,,5,2,3,5,6,2,6,,,,,20,1,,3,,,0,,0,,11816763,5,9859b,0,1,1
16,nl8m3nf8,,0,12,12,postexp,Results,2020-01-14 16:18:07.696028+00:00,1,,,5,5,o75chhp9,,,,,,0,1,0,16,sh_sev_fin,abstract,4,choice_4,1,1,5,2,1,1,1,1,0,95,90,70,60,10,5,1,1,16,b,l,o,c,k,c,a,t,b,r,o,k,e,r,h,o,n,e,y,T,h,i,n,g,B,o,n,d,0,1,1,16,,,,,,6,,6,5,6,5,7,3,3,,,,,22,1,,3,,,0,,1,,1649491,4,4707s,0,1,1
17,zn37tgi0,,0,1,12,tt,Instructions,2020-01-14 16:23:13.544199+00:00,1,,,0,0,o75chhp9,,,,,,0,1,0,17,sh_sev_fin,abstract,1,choice_1,,,,,,,,,,,,,,,0,1,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
18,1pynry5q,,0,12,12,postexp,Results,2020-01-14 18:10:19.551811+00:00,1,,,5,5,o75chhp9,,,,,,0,1,0,18,sh_sev_fin,abstract,3,choice_3,1,0,3,6,1,1,1,1,1,90,80,70,60,50,5,1,1,18,c,l,o,c,k,c,a,t,c,h,o,k,e,r,m,o,n,e,y,T,h,i,n,k,B,o,n,d,0,1,1,18,,,,,,6,,6,4,6,7,6,2,5,,,,,24,1,,4,,,0,,0,,1338455,4,2263n,0,1,1
19,tjud3kif,,0,12,12,postexp,Results,2020-01-14 18:38:59.864683+00:00,1,,,5,5,o75chhp9,,,,,,0,1,0,19,sh_sev_fin,abstract,1,choice_1,1,1,1,1,1,1,1,1,0,100,100,90,80,0,5,1,1,19,c,l,o,c,k,h,a,t,b,r,o,k,e,r,h,o,n,e,y,T,h,i,n,g,B,a,n,d,0,1,1,19,,,,,,3,,6,4,6,6,7,2,6,,,,,24,1,,2,,,1,,1,,1437805,2,4578o,0,1,1
20,tjlsu289,,0,12,12,postexp,Results,2020-01-14 19:59:01.063937+00:00,1,,,5,5,o75chhp9,,,,,,0,1,0,20,sh_sev_fin,abstract,3,choice_3,1,0,1,1,1,1,1,1,0,80,60,40,20,5,5,1,1,20,b,l,o,c,k,h,a,t,b,r,o,k,e,r,m,o,n,e,y,T,h,i,n,k,B,o,n,d,0,1,1,20,,,,,,3,,6,3,1,2,6,2,4,,,,,23,0,,4,,,1,Krypto Currency,3,,1515541,3,6632b,0,1,1
21,24i1j93b,,0,12,12,postexp,Results,2020-01-14 20:05:23.597328+00:00,1,,,4,4,o75chhp9,,,,,,0,1,0,21,sh_sev_fin,abstract,4,choice_4,0,1,2,2,1,1,1,0,0,100,100,100,50,15,4,1,1,21,f,l,o,c,k,c,a,t,b,r,o,k,e,r,m,o,n,e,y,T,h,a,n,k,B,o,n,d,0,1,1,21,,,,,,3,,6,2,3,2,5,2,3,,,,,25,0,,4,,,0,,1,,1415621,4,1681T,0,1,1
22,ok8lg7f9,,0,1,12,tt,Instructions,2020-01-15 07:54:57.644382+00:00,1,,,0,0,o75chhp9,,,,,,0,1,0,22,sh_sev_fin,abstract,1,choice_1,,,,,,,,,,,,,,,0,1,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
23,5g4vjoy0,,0,12,12,postexp,Results,2020-01-15 07:54:57.485844+00:00,1,,,5,5,o75chhp9,,,,,,0,1,0,23,sh_sev_fin,abstract,4,choice_4,1,1,5,1,1,1,1,1,0,100,100,98,98,100,5,1,1,23,c,l,o,c,k,c,a,t,b,r,o,k,e,r,m,o,n,e,y,T,h,i,n,g,B,a,n,d,0,1,1,23,,,,,,6,,6,5,4,4,6,3,4,,,,,21,1,,4,,,0,,1,,11715278,4,3331g,0,1,1
24,n5vd232g,,0,1,12,tt,Instructions,2020-01-17 07:03:57.569598+00:00,1,,,0,0,o75chhp9,,,,,,0,1,0,24,sh_sev_fin,abstract,4,choice_4,,,,,,,,,,,,,,,0,1,1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
25,k3js1udk,,0,12,12,postexp,Results,2020-01-17 07:05:19.654848+00:00,1,,,5,5,o75chhp9,,,,,,0,1,0,25,sh_sev_fin,abstract,3,choice_3,1,0,4,5,1,1,1,1,1,70,85,55,62,99,5,1,1,25,c,l,o,c,k,r,a,t,f,l,o,k,e,r,m,o,n,e,y,T,h,i,n,k,B,a,n,d,0,1,1,25,,,,,,4,,5,5,4,6,6,4,6,,,,,26,1,,4,,,0,,1,,1215256,5,4299q,0,1,1
26,3hmhk9lq,,0,1,12,tt,Instructions,2020-01-17 07:24:57.645677+00:00,1,,,0,0,o75chhp9,,,,,,0,1,0,26,sh_sev_fin,abstract,4,choice_4,,,,,,,,,,,,,,,0,1,1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
27,kr30pbtn,,0,12,12,postexp,Results,2020-01-17 11:33:38.256518+00:00,1,,,5,5,o75chhp9,,,,,,0,1,0,27,sh_sev_fin,abstract,1,choice_1,1,0,7,5,1,1,0,0,0,95,80,40,15,0,5,1,1,27,c,l,o,c,k,c,a,t,b,r,o,k,e,r,m,o,n,e,y,T,h,i,n,g,B,a,n,d,0,1,1,27,,,,,,3,,7,5,4,6,7,5,5,,,,,23,1,,4,,,0,,1,,1603483,4,7645Q,0,1,1
28,6fgh9pt2,,0,0,12,,,,0,,,0,0,o75chhp9,,,,,,0,1,0,28,sh_sev_fin,abstract,3,choice_3,,,,,,,,,,,,,,,0,1,1,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
29,z9v6lwbd,,0,0,12,,,,0,,,0,0,o75chhp9,,,,,,0,1,0,29,sh_sev_fin,abstract,4,choice_4,,,,,,,,,,,,,,,0,1,1,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
30,ok9483a1,,0,0,12,,,,0,,,0,0,o75chhp9,,,,,,0,1,0,30,sh_sev_fin,abstract,2,choice_2,,,,,,,,,,,,,,,0,1,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
31,86auuj0i,,0,0,12,,,,0,,,0,0,o75chhp9,,,,,,0,1,0,31,sh_sev_fin,abstract,4,choice_4,,,,,,,,,,,,,,,0,1,1,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
32,ue4f458f,,0,0,12,,,,0,,,0,0,o75chhp9,,,,,,0,1,0,32,sh_sev_fin,abstract,4,choice_4,,,,,,,,,,,,,,,0,1,1,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
33,ogdv0be4,,0,0,12,,,,0,,,0,0,o75chhp9,,,,,,0,1,0,33,sh_sev_fin,abstract,3,choice_3,,,,,,,,,,,,,,,0,1,1,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
34,l9mm3jzk,,0,0,12,,,,0,,,0,0,o75chhp9,,,,,,0,1,0,34,sh_sev_fin,abstract,1,choice_1,,,,,,,,,,,,,,,0,1,1,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
35,aaos2l4t,,0,0,12,,,,0,,,0,0,o75chhp9,,,,,,0,1,0,35,sh_sev_fin,abstract,4,choice_4,,,,,,,,,,,,,,,0,1,1,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
36,wipztjpq,,0,0,12,,,,0,,,0,0,o75chhp9,,,,,,0,1,0,36,sh_sev_fin,abstract,1,choice_1,,,,,,,,,,,,,,,0,1,1,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
37,1z1foent,,0,0,12,,,,0,,,0,0,o75chhp9,,,,,,0,1,0,37,sh_sev_fin,abstract,4,choice_4,,,,,,,,,,,,,,,0,1,1,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
38,dt506ekp,,0,0,12,,,,0,,,0,0,o75chhp9,,,,,,0,1,0,38,sh_sev_fin,abstract,4,choice_4,,,,,,,,,,,,,,,0,1,1,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
39,n2v32pkr,,0,0,12,,,,0,,,0,0,o75chhp9,,,,,,0,1,0,39,sh_sev_fin,abstract,2,choice_2,,,,,,,,,,,,,,,0,1,1,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
40,zbg4d3wf,,0,0,12,,,,0,,,0,0,o75chhp9,,,,,,0,1,0,40,sh_sev_fin,abstract,1,choice_1,,,,,,,,,,,,,,,0,1,1,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
41,yz751vmg,,0,0,12,,,,0,,,0,0,o75chhp9,,,,,,0,1,0,41,sh_sev_fin,abstract,4,choice_4,,,,,,,,,,,,,,,0,1,1,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
42,dnm6aqn1,,0,0,12,,,,0,,,0,0,o75chhp9,,,,,,0,1,0,42,sh_sev_fin,abstract,4,choice_4,,,,,,,,,,,,,,,0,1,1,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
43,337702id,,0,0,12,,,,0,,,0,0,o75chhp9,,,,,,0,1,0,43,sh_sev_fin,abstract,2,choice_2,,,,,,,,,,,,,,,0,1,1,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
44,3oi3jd6g,,0,0,12,,,,0,,,0,0,o75chhp9,,,,,,0,1,0,44,sh_sev_fin,abstract,4,choice_4,,,,,,,,,,,,,,,0,1,1,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
45,9ji3bqof,,0,0,12,,,,0,,,0,0,o75chhp9,,,,,,0,1,0,45,sh_sev_fin,abstract,2,choice_2,,,,,,,,,,,,,,,0,1,1,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
46,j02ificd,,0,0,12,,,,0,,,0,0,o75chhp9,,,,,,0,1,0,46,sh_sev_fin,abstract,1,choice_1,,,,,,,,,,,,,,,0,1,1,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
47,ebl2u33j,,0,0,12,,,,0,,,0,0,o75chhp9,,,,,,0,1,0,47,sh_sev_fin,abstract,3,choice_3,,,,,,,,,,,,,,,0,1,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
48,qe7ry57o,,0,0,12,,,,0,,,0,0,o75chhp9,,,,,,0,1,0,48,sh_sev_fin,abstract,4,choice_4,,,,,,,,,,,,,,,0,1,1,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
49,vjglwrxy,,0,0,12,,,,0,,,0,0,o75chhp9,,,,,,0,1,0,49,sh_sev_fin,abstract,3,choice_3,,,,,,,,,,,,,,,0,1,1,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
50,1qoouqkt,,0,0,12,,,,0,,,0,0,o75chhp9,,,,,,0,1,0,50,sh_sev_fin,abstract,4,choice_4,,,,,,,,,,,,,,,0,1,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
