id_combined,date,experiment,us,treatment,trust_promise,trust,promise,default_yes,default_no,promise_yes,reported_diceroll,correct_guess,age,female,education,universitydegree,sector,employed,highincome,politicalright,believeingod,believeinfreewill,generaltrust,age_35,am_politics,am_god,am_freewill,am_trust,reciprocity_norms,moral_obligation,consistency,negative_emotion,positive_emotion,activepromise_treatment,default_treatment
6332,  5/24/2022 7:17,3,1,Default_yes,0,0,0,1,0,1,5,0,48,1,2,0,1,1,1,11,11,11,9,1,1,1,1,1,10,11,11,9,10,,1
6333,  5/24/2022 4:25,3,1,Trust,0,1,0,0,0,,4,0,37,1,3,1,1,1,1,8,8,10,6,1,1,1,0,0,6,11,11,11,11,,0
6334,  5/24/2022 6:08,3,1,Default_no,0,0,0,0,1,1,1,0,27,1,3,1,2,1,0,1,1,11,5,0,0,0,1,0,9,11,11,11,10,,1
6335,  5/24/2022 1:36,3,1,Default_no,0,0,0,0,1,1,5,1,30,0,2,0,1,1,1,6,1,11,7,0,1,0,1,0,11,9,9,9,8,,1
6336, 5/24/2022 12:25,3,1,Default_no,0,0,0,0,1,1,5,0,23,1,3,1,1,1,0,2,1,11,6,0,0,0,1,0,11,11,11,11,11,,1
6337,  5/24/2022 4:56,3,1,Default_yes,0,0,0,1,0,1,6,0,41,1,2,0,1,1,0,4,11,10,4,1,0,1,0,0,10,10,10,10,10,,1
6338,  5/24/2022 3:31,3,1,Promise,0,0,1,0,0,1,4,1,35,0,3,1,1,1,0,2,1,9,1,1,0,0,0,0,9,11,10,8,11,1,0
6339,  5/24/2022 3:38,3,1,Control,0,0,0,0,0,,6,0,27,0,3,1,2,1,1,5,8,9,8,0,1,1,0,1,11,11,11,9,9,0,0
6340,  5/24/2022 9:51,3,1,Default_yes,0,0,0,1,0,1,5,1,20,0,2,0,2,1,0,4,1,11,6,0,0,0,1,0,11,11,9,11,10,,1
6341, 5/24/2022 11:35,3,1,Promise,0,0,1,0,0,1,4,1,36,0,3,1,3,0,0,1,2,5,4,1,0,0,0,0,11,11,9,9,11,1,0
6342, 5/24/2022 10:39,3,1,Trust_promise,1,0,0,0,0,1,1,0,25,1,3,1,2,1,1,2,11,9,4,0,0,1,0,0,3,11,11,11,11,1,0
6343,  5/24/2022 6:06,3,1,Default_no,0,0,0,0,1,1,6,0,56,0,2,0,1,1,1,7,9,10,8,1,1,1,0,1,11,11,11,1,1,,1
6344,  5/25/2022 4:11,3,1,Trust_promise,1,0,0,0,0,1,1,0,31,0,2,0,1,1,1,2,1,11,9,0,0,0,1,1,11,11,11,11,11,1,0
6345,  5/24/2022 2:02,3,1,Default_no,0,0,0,0,1,1,2,0,21,1,3,1,2,1,0,8,11,11,7,0,1,1,1,0,10,9,9,9,2,,1
6346,  5/24/2022 1:14,3,1,Default_yes,0,0,0,1,0,1,1,0,35,1,2,0,1,1,1,4,8,7,9,1,0,1,0,1,7,11,9,11,11,,1
6347,  5/24/2022 1:20,3,1,Trust_promise,1,0,0,0,0,1,6,1,31,0,3,1,2,1,1,1,1,10,8,0,0,0,0,1,10,9,9,7,7,1,0
6348,  5/24/2022 4:42,3,1,Trust,0,1,0,0,0,,6,0,20,1,3,1,1,1,0,2,1,8,8,0,0,0,0,1,11,11,11,10,6,,0
6349,  5/24/2022 6:50,3,1,Trust_promise,1,0,0,0,0,1,6,1,49,1,4,1,1,1,0,6,11,9,1,1,1,1,0,0,11,11,11,11,11,1,0
6350,  5/24/2022 1:03,3,1,Default_no,0,0,0,0,1,1,3,0,43,1,4,1,2,1,1,6,11,11,5,1,1,1,1,0,9,11,11,7,5,,1
6351,  5/24/2022 2:23,3,1,Promise,0,0,1,0,0,1,3,0,37,1,2,0,3,0,0,3,10,10,3,1,0,1,0,0,11,11,10,3,5,1,0
6352, 5/24/2022 12:20,3,1,Default_yes,0,0,0,1,0,1,4,1,42,0,3,1,2,1,1,7,11,11,7,1,1,1,1,0,10,10,9,9,10,,1
6353,  5/24/2022 1:34,3,1,Control,0,0,0,0,0,,2,1,26,1,4,1,2,1,1,4,6,7,5,0,0,1,0,0,5,7,7,5,7,0,0
6354,  5/24/2022 4:09,3,1,Control,0,0,0,0,0,,1,1,18,0,2,0,3,0,0,3,8,11,5,0,0,1,1,0,1,4,4,4,3,0,0
6355,  5/24/2022 5:11,3,1,Trust_promise,1,0,0,0,0,1,2,0,35,1,4,1,2,1,1,1,1,8,6,1,0,0,0,0,11,11,10,4,6,1,0
6356, 5/24/2022 11:50,3,1,Trust_promise,1,0,0,0,0,1,2,0,31,0,2,0,1,1,0,3,3,11,4,0,0,0,1,0,11,10,10,7,8,1,0
6357, 5/24/2022 12:18,3,1,Default_yes,0,0,0,1,0,1,2,1,34,0,3,1,1,1,1,6,1,6,9,0,1,0,0,1,6,5,5,5,5,,1
6358,  5/24/2022 2:18,3,1,Control,0,0,0,0,0,,3,0,65,1,2,0,3,0,0,6,11,10,9,1,1,1,0,1,8,10,11,3,11,0,0
6359,  5/24/2022 7:51,3,1,Trust,0,1,0,0,0,,5,1,19,0,2,0,1,1,0,2,1,3,8,0,0,0,0,1,9,8,9,7,7,,0
6360, 5/24/2022 11:56,3,1,Control,0,0,0,0,0,,6,1,46,0,2,0,3,0,0,1,1,11,10,1,0,0,1,1,11,11,11,1,11,0,0
6361,  5/25/2022 9:06,3,1,Promise,0,0,1,0,0,1,4,1,31,0,3,1,1,1,1,1,1,11,6,0,0,0,1,0,8,7,6,5,5,1,0
6362,  5/24/2022 6:54,3,1,Trust,0,1,0,0,0,,4,1,39,0,3,1,1,1,1,6,1,1,1,1,1,0,0,0,10,10,10,9,10,,0
6363,  5/24/2022 6:03,3,1,Control,0,0,0,0,0,,1,1,23,1,3,1,1,1,1,1,1,3,8,0,0,0,0,1,11,11,11,4,1,0,0
6364, 5/24/2022 12:46,3,1,Trust,0,1,0,0,0,,3,0,64,1,3,1,1,1,0,2,1,11,9,1,0,0,1,1,11,11,11,11,8,,0
6365,  5/24/2022 6:13,3,1,Default_no,0,0,0,0,1,1,1,0,35,1,4,1,1,1,0,1,1,6,7,1,0,0,0,0,10,10,11,11,11,,1
6366,  5/24/2022 4:08,3,1,Control,0,0,0,0,0,,3,1,29,0,2,0,3,0,0,5,11,10,6,0,1,1,0,0,4,9,11,11,9,0,0
6367, 5/24/2022 11:46,3,1,Control,0,0,0,0,0,,1,0,30,1,3,1,2,1,1,11,11,11,3,0,1,1,1,0,9,9,10,10,10,0,0
6368, 5/24/2022 12:42,3,1,Default_yes,0,0,0,1,0,1,5,1,27,0,3,1,3,0,1,2,2,6,7,0,0,0,0,0,11,11,11,11,11,,1
6369,  5/24/2022 3:26,3,1,Control,0,0,0,0,0,,3,1,43,1,3,1,1,1,1,2,9,9,6,1,0,1,0,0,11,11,11,11,11,0,0
6370,  5/24/2022 3:05,3,1,Default_yes,0,0,0,1,0,1,1,1,37,1,3,1,2,1,1,5,1,10,3,1,1,0,0,0,3,3,3,5,5,,1
6371,  5/24/2022 1:53,3,1,Default_no,0,0,0,0,1,1,2,1,47,1,2,0,3,0,1,1,6,1,7,1,0,1,0,0,11,11,11,11,11,,1
6372,  5/24/2022 1:05,3,1,Promise,0,0,1,0,0,1,4,0,37,0,2,0,2,1,1,5,10,11,9,1,1,1,1,1,10,9,11,7,8,1,0
6373,  5/24/2022 9:19,3,1,Trust_promise,1,0,0,0,0,1,6,1,26,0,2,0,2,1,0,4,2,10,3,0,0,0,0,0,11,9,11,10,10,1,0
6374,  5/24/2022 4:25,3,1,Default_no,0,0,0,0,1,1,4,0,75,0,5,1,1,1,1,1,2,11,9,1,0,0,1,1,4,11,11,5,1,,1
6375,  5/24/2022 1:44,3,1,Promise,0,0,1,0,0,1,4,1,28,0,3,1,2,1,1,4,2,8,5,0,0,0,0,0,11,11,11,11,11,1,0
6376,  5/24/2022 1:15,3,1,Trust_promise,1,0,0,0,0,1,2,0,55,1,2,0,1,1,0,9,11,9,9,1,1,1,0,1,9,11,11,3,9,1,0
6377,  5/24/2022 7:21,3,1,Trust_promise,1,0,0,0,0,1,2,0,27,1,3,1,1,1,1,3,1,6,6,0,0,0,0,0,11,11,11,11,11,1,0
6378,  5/24/2022 3:04,3,1,Default_yes,0,0,0,1,0,1,4,0,71,1,4,1,3,0,0,1,1,11,9,1,0,0,1,1,11,11,11,6,8,,1
6379,  5/24/2022 5:57,3,1,Default_yes,0,0,0,1,0,1,6,0,24,1,2,0,2,1,0,1,5,11,8,0,0,0,1,1,11,11,11,11,11,,1
6380,  5/24/2022 2:33,3,1,Trust_promise,1,0,0,0,0,1,6,1,71,1,2,0,3,0,1,6,11,11,4,1,1,1,1,0,11,11,11,11,11,1,0
6381, 5/25/2022 10:52,3,1,Trust_promise,1,0,0,0,0,1,3,1,25,0,2,0,3,0,0,5,2,8,4,0,1,0,0,0,11,11,11,11,11,1,0
