Trial#,Sequence#,Response Time,Trial Type(mean-std),Shade,Resp,Missed,Reply,Accumulated Amount
1,4,0.808(s),Control_Trial(3-2),4 & 5,1,0,1,$0.1
2,4,0.694(s),Control_Trial(3-2),4 & 3,1,0,1,$0.2
3,4,0.74(s),Control_Trial(3-2),1 & 2,1,0,1,$0.3
4,4,0.796(s),Control_Trial(3-2),4 & 5,1,0,1,$0.4
5,4,0.675(s),Control_Trial(3-2),4 & 5,1,0,1,$0.5
6,4,1.197(s),Control_Same_Color_Trial(3-2),1 & 1,1,0,1,$0.6
7,4,0.717(s),Control_Trial(3-2),1 & 2,1,0,1,$0.7
8,4,0.852(s),Control_Trial(3-2),4 & 5,1,0,1,$0.8
9,4,0.941(s),Control_Trial(3-2),3 & 4,1,0,1,$0.9
10,4,0.677(s),Control_Trial(3-2),3 & 4,1,0,1,$1
11,4,1.257(s),Control_Trial(3-2),4 & 5,-1,0,0,$0.75
12,4,0.916(s),Control_Trial(3-2),3 & 2,1,0,1,$0.85
13,4,0.668(s),Control_Trial(3-2),5 & 4,1,0,1,$0.95
14,4,0.82(s),Control_Trial(3-2),4 & 5,1,0,1,$1.05
15,4,0.81(s),Control_Trial(3-2),3 & 2,1,0,1,$1.15
16,4,0.542(s),Control_Trial(3-2),4 & 5,1,0,1,$1.25
17,4,0.804(s),Control_Trial(3-2),4 & 5,1,0,1,$1.35
18,4,1.048(s),Control_Trial(3-2),2 & 1,1,0,1,$1.45
19,4,0.599(s),Control_Trial(3-2),3 & 4,1,0,1,$1.55
20,4,0.867(s),Control_Trial(3-2),1 & 2,1,0,1,$1.65
21,4,0.584(s),Control_Trial(3-2),5 & 4,1,0,1,$1.75
22,4,0.711(s),Control_Trial(3-2),4 & 3,1,0,1,$1.85
23,4,0.555(s),Control_Trial(3-2),4 & 5,1,0,1,$1.95
24,4,0.492(s),Control_Trial(3-2),4 & 5,1,0,1,$2.05
25,4,0.994(s),Control_Trial(3-2),4 & 5,1,0,1,$2.15
26,4,0.517(s),Control_Trial(3-2),4 & 5,1,0,1,$2.25
27,4,1.069(s),Control_Trial(3-2),2 & 1,1,0,1,$2.35
28,4,0.636(s),Control_Trial(3-2),1 & 2,1,0,1,$2.45
29,4,0.631(s),Control_Trial(3-2),4 & 3,1,0,1,$2.55
30,4,0.601(s),Control_Trial(3-2),3 & 2,1,0,1,$2.65
31,4,0.924(s),Control_Trial(3-2),2 & 1,1,0,1,$2.75
32,4,1.229(s),Control_Trial(3-2),4 & 5,1,0,1,$2.85
33,4,0.768(s),Control_Same_Color_Trial(3-2),5 & 5,0,0,0.5,$2.6
34,4,0.691(s),Control_Trial(3-2),2 & 3,1,0,1,$2.7
35,4,0.738(s),Control_Trial(3-2),1 & 2,1,0,1,$2.8
36,4,0.591(s),Control_Same_Color_Trial(3-2),2 & 2,0,0,0.5,$2.55
37,4,0.754(s),Control_Same_Color_Trial(3-2),1 & 1,1,0,1,$2.65
38,4,0.545(s),Control_Trial(3-2),2 & 1,1,0,1,$2.75
39,4,0.483(s),Control_Trial(3-2),2 & 1,1,0,1,$2.85
40,4,1.013(s),Control_Same_Color_Trial(3-2),3 & 3,0,0,0.5,$2.6
41,4,0.879(s),Control_Trial(3-2),1 & 2,1,0,1,$2.7
42,4,0.548(s),Control_Trial(3-2),5 & 4,1,0,1,$2.8
43,4,0.591(s),Control_Trial(3-2),3 & 4,1,0,1,$2.9
44,4,0.949(s),Control_Trial(3-2),1 & 2,-1,0,0,$2.65
45,4,0.583(s),Control_Trial(3-2),3 & 2,1,0,1,$2.75
46,4,1.339(s),Control_Test_Trial(3-2),1 & 1,1,0,1,$2.85
47,4,0.795(s),Adpative_Test_Trial(7-1),7 & 8,1,0,1,$2.95
48,0,0.734(s),Adpative_Trial(3-1),2 & 3,1,0,1,$3.05
49,0,0.924(s),Adpative_Same_Color_Trial(3-1),3 & 3,0,0,0.5,$2.8
50,0,0.646(s),Adpative_Trial(3-1),4 & 3,1,0,1,$2.9
51,0,0.645(s),Adpative_Trial(3-1),3 & 2,1,0,1,$3
52,0,0.527(s),Adpative_Trial(3-1),3 & 2,1,0,1,$3.1
