session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Student Status,Employment Status,Current Country of Residence,Nationality,First Language,Sex,Fluent languages,Industry
5e14b089e69d0aada620e44f,545d0b09fdf99b7f9fca2261,AWAITING REVIEW,2020-01-07 16:23:41.394000,2020-01-07 16:30:48.673000,427.279,34,355,6,99,,693460E2,Italy,No,Other,Italy,Italy,Italian,Male,Italian,Finance and Insurance
5e14b126ecb3eaad48c341fb,5a00bc39728b1b0001ad8971,AWAITING REVIEW,2020-01-07 16:26:19.432000,2020-01-07 16:32:16.296000,356.864,23,318,2,100,,693460E2,United Kingdom,No,Full-Time,United Kingdom,United Kingdom,English,Female,English,Finance and Insurance
5e14b4938f1fafacb5bd60e9,59cbdc1045ca220001197406,AWAITING REVIEW,2020-01-07 16:40:51.839000,2020-01-07 16:47:34.680000,402.841,34,272,4,99,,693460E2,United Kingdom,No,Part-Time,United Kingdom,United Kingdom,Urdu,Female,English,Finance and Insurance
5e14b6ad6f6d3eabc1c8d230,5ba3d4590e41db0001786ca1,AWAITING REVIEW,2020-01-07 16:49:52.079000,2020-01-07 16:52:45.312000,173.233,37,497,0,100,,693460E2,United States,No,Full-Time,United States,United States,English,Female,English,Finance and Insurance
5e14b6f32a7b12000be83a45,5b293dcbd5035800018d86c0,RETURNED,2020-01-07 17:01:00.010000,,850927.197153,27,128,3,97,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e14b8c24c81b2ad10664945,5a1eb1ef087f2e0001eafd82,AWAITING REVIEW,2020-01-07 16:58:51.535000,2020-01-07 17:04:14.818000,323.283,37,404,6,99,,693460E2,United Kingdom,No,Part-Time,United Kingdom,United Kingdom,English,Female,English,Finance and Insurance
5e14bad6783225ad7590cddd,5589cd58fdf99b18be3203af,AWAITING REVIEW,2020-01-07 17:07:36.976000,2020-01-07 17:12:38.127000,301.151,35,391,0,100,,693460E2,United States,No,Full-Time,United States,United States,English,Female,English,Finance and Insurance
5e14bb21f9e750ad3958dc53,5a972432873cda0001dc9321,AWAITING REVIEW,2020-01-07 17:08:53.416000,2020-01-07 17:16:10.241000,436.825,47,306,1,100,,693460E2,Germany,No,Part-Time,United Kingdom,United Kingdom,English,Male,English,Finance and Insurance
5e14bbd63b42af02ff38ab47,5a3ca673e7eb810001d35a61,AWAITING REVIEW,2020-01-07 17:11:54.416000,2020-01-07 17:17:15.906000,321.49,29,317,2,100,,693460E2,United Kingdom,No,Full-Time,Canada,United Kingdom,English,Male,English,Finance and Insurance
5e14bc672e4725acc96dbf8c,59b84ad1d793b40001459a0c,AWAITING REVIEW,2020-01-07 17:14:26.850000,2020-01-07 17:23:19.227000,532.377,24,253,0,100,,693460E2,Argentina,No,Full-Time,Italy,Colombia,Spanish,Male,Portuguese,Finance and Insurance
