participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.payoff_plus_participation_fee,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.real_world_currency_per_point,session.config.participation_fee,tt.1.player.id_in_group,tt.1.player.treatment,tt.1.player.context,tt.1.player.random_decision,tt.1.player.random_input,tt.1.player.choice,tt.1.player.order,tt.1.player.severity,tt.1.player.reputation,tt.1.player.choice_1,tt.1.player.choice_2,tt.1.player.choice_3,tt.1.player.choice_4,tt.1.player.choice_5,tt.1.player.belief_1,tt.1.player.belief_2,tt.1.player.belief_3,tt.1.player.belief_4,tt.1.player.belief_5,tt.1.player.payoff,tt.1.group.id_in_subsession,tt.1.subsession.round_number,wordscra.1.player.id_in_group,wordscra.1.player.word1_1,wordscra.1.player.word1_2,wordscra.1.player.word1_3,wordscra.1.player.word1_4,wordscra.1.player.word1_5,wordscra.1.player.word2_1,wordscra.1.player.word2_2,wordscra.1.player.word2_3,wordscra.1.player.word3_1,wordscra.1.player.word3_2,wordscra.1.player.word3_3,wordscra.1.player.word3_4,wordscra.1.player.word3_5,wordscra.1.player.word3_6,wordscra.1.player.word4_1,wordscra.1.player.word4_2,wordscra.1.player.word4_3,wordscra.1.player.word4_4,wordscra.1.player.word4_5,wordscra.1.player.word5_1,wordscra.1.player.word5_2,wordscra.1.player.word5_3,wordscra.1.player.word5_4,wordscra.1.player.word5_5,wordscra.1.player.word6_1,wordscra.1.player.word6_2,wordscra.1.player.word6_3,wordscra.1.player.word6_4,wordscra.1.player.payoff,wordscra.1.group.id_in_subsession,wordscra.1.subsession.round_number,postexp.1.player.id_in_group,postexp.1.player.finlit_1,postexp.1.player.finlit_2,postexp.1.player.finlit_3,postexp.1.player.finlit_4,postexp.1.player.finlit_5,postexp.1.player.risk_aversion1,postexp.1.player.risk_aversion2,postexp.1.player.pref1_1,postexp.1.player.pref1_2,postexp.1.player.pref1_3,postexp.1.player.pref1_4,postexp.1.player.pref2_1,postexp.1.player.pref2_2,postexp.1.player.pref2_3,postexp.1.player.crt4,postexp.1.player.crt5,postexp.1.player.crt6,postexp.1.player.crt7,postexp.1.player.age,postexp.1.player.female,postexp.1.player.income,postexp.1.player.education,postexp.1.player.jobfunction,postexp.1.player.jobfunctiongp,postexp.1.player.investment,postexp.1.player.whichinvestment,postexp.1.player.finnews,postexp.1.player.comments,postexp.1.player.matrikelnr,postexp.1.player.rate,postexp.1.player.random_code,postexp.1.player.payoff,postexp.1.group.id_in_subsession,postexp.1.subsession.round_number
11,kepqck8a,5b4b8f5d369f840001130568,0,12,12,postexp,Results,2020-01-15 16:26:13.308375+00:00,1,,,4,4,b7rrvg7s,,,,,,0,1,0,11,su_ha_abs,abstract,4,choice_4,0,0,1,1,0,0,0,0,0,60,60,55,25,0,4,1,1,11,c,l,o,c,k,c,a,t,c,o,o,k,e,r,m,o,n,e,y,T,h,a,n,e,B,a,n,d,0,1,1,11,,,,,,3,,5,2,5,4,6,3,2,,,,,27,1,,4,8,,0,,,,,4,9521x,0,1,1
12,rlnaknx9,592727e69ef28e00017acd30,0,12,12,postexp,Results,2020-01-15 22:00:56.887761+00:00,1,,,5,5,b7rrvg7s,,,,,,0,1,0,12,su_ha_abs,abstract,1,choice_1,1,0,6,6,1,1,1,0,0,85,80,70,30,0,5,1,1,12,b,l,o,c,k,c,a,t,b,r,o,k,e,r,m,o,n,e,y,T,h,i,n,k,B,a,n,d,0,1,1,12,,,,,,5,,5,5,4,6,6,4,6,,,,,34,1,,4,3,,1,Stocks,,,,4,9042v,0,1,1
13,6covdl4q,5b21604f9900590001b1e8ae,0,12,12,postexp,Results,2020-01-15 22:03:15.447779+00:00,1,,,4,4,b7rrvg7s,,,,,,0,1,0,13,su_ha_abs,abstract,4,choice_4,0,0,5,4,0,0,0,0,0,80,60,40,20,0,4,1,1,13,s,t,o,c,k,b,a,t,b,r,o,k,e,r,m,o,n,e,y,T,h,i,n,k,B,o,n,d,0,1,1,13,,,,,,5,,6,4,4,6,7,2,4,,,,,38,0,,4,8,,1,stocks,,,,5,3219w,0,1,1
14,1272dusv,53ce8768fdf99b49589b60f0,0,12,12,postexp,Results,2020-01-16 10:37:19.220666+00:00,1,,,5,5,b7rrvg7s,,,,,,0,1,0,14,su_ha_neu,abstract,3,choice_3,1,1,1,1,1,1,1,1,0,90,90,90,80,20,5,1,1,14,c,l,o,c,k,c,a,t,c,h,o,k,e,r,m,o,n,e,y,T,h,i,n,k,B,o,n,d,0,1,1,14,,,,,,3,,7,5,4,5,5,2,3,,,,,25,1,,4,8,,1,Funds,,,,4,8278V,0,1,1
15,m941cj48,5a948408dbdb470001eea07c,0,12,12,postexp,Results,2020-01-16 11:47:47.759760+00:00,1,,,2,2,b7rrvg7s,,,,,,0,1,0,15,su_ha_abs,abstract,2,choice_2,0,1,5,6,0,0,0,0,0,40,30,20,10,0,2,1,1,15,C,L,o,c,k,C,a,t,C,H,o,k,e,r,M,o,n,e,y,T,h,I,n,K,B,E,n,d,0,1,1,15,,,,,,4,,6,6,6,7,7,5,3,,,,,23,1,,1,8,,1,,,,,5,5544B,0,1,1
16,8r3cqe6q,5b6ad68332c2eb000126d9a8,0,12,12,postexp,Results,2020-01-16 12:41:15.972749+00:00,1,,,2,2,b7rrvg7s,,,,,,0,1,0,16,su_ha_neu,abstract,2,choice_2,0,0,2,3,0,0,0,0,0,15,20,25,40,50,2,1,1,16,C,l,o,c,k,B,a,t,S,m,o,k,e,r,H,o,n,e,y,T,h,i,n,k,B,i,n,d,0,1,1,16,,,,,,3,,5,2,2,5,7,2,6,,,,,30,0,,4,1,,1,401K,,,,5,1897W,0,1,1
17,kikn41kp,5512eee1fdf99b7e1fb1be40,0,12,12,postexp,Results,2020-01-16 16:35:17.117619+00:00,1,,,2,2,b7rrvg7s,,,,,,0,1,0,17,su_ha_neu,abstract,2,choice_2,0,0,4,4,0,0,0,0,0,50,50,50,50,100,2,1,1,17,b,l,o,c,k,c,a,t,b,o,o,k,e,r,h,o,n,e,y,T,h,a,n,k,B,a,n,d,0,1,1,17,,,,,,4,,4,4,4,7,7,2,2,,,,,28,1,,4,2,,1,shares,,,,5,5859t,0,1,1
18,tz9t529b,59aee2c57f6c84000151bd9b,0,12,12,postexp,Results,2020-01-16 19:18:22.869678+00:00,1,,,5,5,b7rrvg7s,,,,,,0,1,0,18,su_ha_abs,abstract,2,choice_2,1,1,2,4,1,1,1,0,0,100,80,60,40,10,5,1,1,18,b,l,o,c,k,c,a,t,s,t,o,k,e,r,m,o,n,e,y,T,h,i,n,g,B,a,n,d,0,1,1,18,,,,,,6,,6,3,5,7,6,2,6,,,,,29,1,,4,1,,1,Index Funds,,,,5,4041V,0,1,1
19,iq2g9pgv,5a8c51c517ef35000170c459,0,12,12,postexp,Results,2020-01-17 09:49:40.329698+00:00,1,,,4,4,b7rrvg7s,,,,,,0,1,0,19,su_ha_neu,abstract,4,choice_4,0,0,3,4,1,1,1,0,0,99,90,75,65,50,4,1,1,19,c,l,o,c,k,c,a,t,c,h,o,k,e,r,m,o,n,e,y,T,h,i,n,k,B,o,n,d,0,1,1,19,,,,,,5,,6,2,2,7,7,1,2,,,,,24,1,,0,8,,0,,,,,5,8332O,0,1,1
20,yjk2wg1o,5b7fc9a7090ad10001cc1f8e,0,12,12,postexp,Results,2020-01-17 10:00:06.327093+00:00,1,,,4,4,b7rrvg7s,,,,,,0,1,0,20,su_ha_abs,abstract,4,choice_4,0,0,5,5,0,0,0,0,0,45,30,50,45,50,4,1,1,20,S,T,o,c,k,C,a,t,B,R,o,k,e,r,M,o,n,e,y,T,h,U,n,D,B,O,n,d,0,1,1,20,,,,,,5,,6,4,3,5,7,4,5,,,,,31,0,,4,8,,0,,,,,5,3693o,0,1,1
