Trial#,Sequence#,Response Time,Trial Type(mean-std),Shade,Resp,Missed,Reply,Accumulated Amount
1,0,0.948(s),Adpative_Trial(3-1),3 & 2,1,0,1,$0.1
2,0,0.907(s),Control_Test_Trial(3-1),2 & 3,1,0,1,$0.2
3,0,1.413(s),Adpative_Test_Trial(10-1),11 & 10,-1,0,0,$-0.05
4,0,1.553(s),Control_Trial(10-1),10 & 11,1,0,1,$0.05
5,0,1.131(s),Control_Test_Trial(10-1),11 & 10,1,0,1,$0.15
6,0,1.403(s),Adpative_Test_Trial(3-1),2 & 3,1,0,1,$0.25
7,1,0.937(s),Adpative_Trial(4-1),4 & 5,1,0,1,$0.35
8,1,1.345(s),Control_Test_Trial(4-1),3 & 4,1,0,1,$0.45
9,1,1.627(s),Adpative_Test_Trial(10-2),11 & 12,1,0,1,$0.55
10,1,1.053(s),Control_Trial(10-2),11 & 10,1,0,1,$0.65
11,1,1.559(s),Control_Test_Trial(10-2),11 & 12,-1,0,0,$0.4
12,1,1.439(s),Adpative_Test_Trial(4-1),3 & 4,1,0,1,$0.5
13,2,0.937(s),Adpative_Trial(5-1),5 & 6,1,0,1,$0.6
14,2,0.947(s),Control_Test_Trial(5-1),4 & 5,1,0,1,$0.7
15,2,1.481(s),Adpative_Test_Trial(10-2),12 & 11,-1,0,0,$0.45
16,2,0.872(s),Control_Trial(10-2),10 & 11,1,0,1,$0.55
17,2,1.232(s),Control_Test_Trial(10-2),12 & 11,1,0,1,$0.65
18,2,0.934(s),Adpative_Test_Trial(5-1),4 & 5,1,0,1,$0.75
19,3,0.964(s),Adpative_Trial(6-1),6 & 5,1,0,1,$0.85
20,3,0.804(s),Control_Test_Trial(6-1),7 & 6,1,0,1,$0.95
21,3,2.002(s),Adpative_Test_Trial(10-2),11 & 12,0,1,-1,$-0.05
22,3,1.134(s),Control_Trial(10-2),8 & 9,1,0,1,$0.05
23,3,1.597(s),Control_Test_Trial(10-2),11 & 12,0,0,0,$-0.2
24,3,1.389(s),Adpative_Test_Trial(6-1),7 & 6,1,0,1,$-0.1
25,4,0.962(s),Adpative_Trial(7-1),7 & 8,1,0,1,$-2.4980018054066E-16
26,4,1.097(s),Control_Test_Trial(7-1),7 & 8,1,0,1,$0.1
27,4,1.414(s),Adpative_Test_Trial(3-2),1 & 2,1,0,1,$0.2
28,4,1.315(s),Control_Trial(3-2),1 & 2,1,0,1,$0.3
29,4,1.371(s),Control_Test_Trial(3-2),1 & 2,1,0,1,$0.4
30,4,1.211(s),Adpative_Test_Trial(7-1),7 & 8,1,0,1,$0.5
31,5,0.945(s),Adpative_Trial(8-1),8 & 7,1,0,1,$0.6
32,5,1.214(s),Control_Test_Trial(8-1),8 & 7,1,0,1,$0.7
33,5,1.513(s),Adpative_Test_Trial(3-2),3 & 2,1,0,1,$0.8
34,5,0.988(s),Control_Trial(3-2),4 & 3,1,0,1,$0.9
35,5,1.197(s),Control_Test_Trial(3-2),3 & 2,1,0,1,$1
36,5,1.484(s),Adpative_Test_Trial(8-1),8 & 7,1,0,1,$1.1
37,6,1.846(s),Adpative_Same_Color_Trial(9-1),8 & 8,1,0,1,$1.2
38,6,1.067(s),Control_Test_Trial(9-1),9 & 10,1,0,1,$1.3
39,6,1.115(s),Adpative_Test_Trial(3-2),3 & 2,1,0,1,$1.4
40,6,1.24(s),Control_Trial(3-2),1 & 2,1,0,1,$1.5
41,6,0.926(s),Control_Test_Trial(3-2),3 & 2,1,0,1,$1.6
42,6,0.988(s),Adpative_Test_Trial(9-1),9 & 10,1,0,1,$1.7
43,7,1.123(s),Adpative_Trial(10-1),11 & 10,1,0,1,$1.8
44,7,1.628(s),Control_Test_Trial(10-1),10 & 9,1,0,1,$1.9
45,7,1.355(s),Adpative_Test_Trial(3-1),2 & 3,1,0,1,$2
46,7,0.903(s),Control_Trial(3-1),3 & 2,1,0,1,$2.1
47,7,1.511(s),Control_Test_Trial(3-1),2 & 3,1,0,1,$2.2
48,7,1.05(s),Adpative_Test_Trial(10-1),10 & 9,1,0,1,$2.3
49,8,1.082(s),Adpative_Trial(3-1),3 & 2,1,0,1,$2.4
50,8,0.914(s),Control_Test_Trial(3-1),3 & 2,1,0,1,$2.5
51,8,2.001(s),Adpative_Test_Trial(8-2),9 & 9,0,1,-1,$1.5
52,8,1.471(s),Control_Trial(8-2),6 & 7,1,0,1,$1.6
53,8,1.084(s),Control_Test_Trial(8-2),9 & 9,0,0,0.5,$1.35
54,8,0.931(s),Adpative_Test_Trial(3-1),3 & 2,1,0,1,$1.45
55,9,1.011(s),Adpative_Trial(4-1),3 & 4,1,0,1,$1.55
56,9,0.787(s),Control_Test_Trial(4-1),4 & 3,1,0,1,$1.65
57,9,1.062(s),Adpative_Test_Trial(10-2),10 & 11,1,0,1,$1.75
58,9,1.717(s),Control_Trial(10-2),10 & 11,1,0,1,$1.85
59,9,1.716(s),Control_Test_Trial(10-2),10 & 11,1,0,1,$1.95
60,9,0.939(s),Adpative_Test_Trial(4-1),4 & 3,1,0,1,$2.05
61,10,2.001(s),Adpative_Same_Color_Trial(5-1),5 & 5,0,1,-1,$1.05
62,10,0.885(s),Control_Test_Trial(5-1),6 & 5,1,0,1,$1.15
63,10,1.244(s),Adpative_Test_Trial(10-2),12 & 11,1,0,1,$1.25
64,10,1.875(s),Control_Same_Color_Trial(10-2),10 & 10,1,0,1,$1.35
65,10,1.476(s),Control_Test_Trial(10-2),12 & 11,1,0,1,$1.45
66,10,1.18(s),Adpative_Test_Trial(5-1),6 & 5,1,0,1,$1.55
67,11,1.032(s),Adpative_Trial(6-1),6 & 7,1,0,1,$1.65
68,11,1.284(s),Control_Test_Trial(6-1),5 & 6,1,0,1,$1.75
69,11,1.824(s),Adpative_Test_Trial(10-2),11 & 12,-1,0,0,$1.5
70,11,1.609(s),Control_Trial(10-2),9 & 10,1,0,1,$1.6
71,11,1.644(s),Control_Test_Trial(10-2),11 & 12,0,0,0,$1.35
72,11,1.342(s),Adpative_Test_Trial(6-1),5 & 6,1,0,1,$1.45
73,12,0.94(s),Adpative_Trial(7-1),7 & 6,1,0,1,$1.55
74,12,1.07(s),Control_Test_Trial(7-1),6 & 7,1,0,1,$1.65
75,12,1.146(s),Adpative_Test_Trial(3-2),3 & 2,1,0,1,$1.75
76,12,1.472(s),Control_Trial(3-2),2 & 1,1,0,1,$1.85
77,12,0.84(s),Control_Test_Trial(3-2),3 & 2,1,0,1,$1.95
78,12,1.759(s),Adpative_Test_Trial(7-1),6 & 7,1,0,1,$2.05
79,13,1.636(s),Adpative_Same_Color_Trial(8-1),8 & 8,1,0,1,$2.15
80,13,1.049(s),Control_Test_Trial(8-1),8 & 9,1,0,1,$2.25
81,13,1.962(s),Adpative_Test_Trial(3-1),2 & 3,1,0,1,$2.35
82,13,1.109(s),Control_Trial(3-1),3 & 4,1,0,1,$2.45
83,13,1.012(s),Control_Test_Trial(3-1),2 & 3,1,0,1,$2.55
84,13,1.025(s),Adpative_Test_Trial(8-1),8 & 9,1,0,1,$2.65
85,14,1.168(s),Adpative_Trial(9-1),10 & 9,1,0,1,$2.75
86,14,1.381(s),Control_Test_Trial(9-1),9 & 9,1,0,1,$2.85
87,14,0.749(s),Adpative_Test_Trial(4-1),4 & 4,0,0,0.5,$2.6
88,14,1.338(s),Control_Trial(4-1),4 & 5,1,0,1,$2.7
89,14,1.269(s),Control_Test_Trial(4-1),4 & 4,0,0,0.5,$2.45
90,14,1.565(s),Adpative_Test_Trial(9-1),9 & 9,0,0,0.5,$2.2
91,15,1.426(s),Adpative_Same_Color_Trial(10-1),9 & 9,0,0,0.5,$1.95
92,15,1.389(s),Control_Test_Trial(10-1),10 & 11,-1,0,0,$1.7
93,15,1.083(s),Adpative_Test_Trial(4-2),4 & 3,1,0,1,$1.8
94,15,1.02(s),Control_Trial(4-2),3 & 2,1,0,1,$1.9
95,15,1.28(s),Control_Test_Trial(4-2),4 & 3,1,0,1,$2
96,15,1.248(s),Adpative_Test_Trial(10-1),10 & 11,1,0,1,$2.1
97,16,0.926(s),Adpative_Trial(3-2),3 & 2,1,0,1,$2.2
98,16,1.109(s),Control_Test_Trial(3-2),3 & 2,1,0,1,$2.3
99,16,1.465(s),Adpative_Test_Trial(9-2),11 & 10,1,0,1,$2.4
100,16,1.152(s),Control_Trial(9-2),10 & 11,1,0,1,$2.5
101,16,0.996(s),Control_Test_Trial(9-2),11 & 10,1,0,1,$2.6
102,16,1.683(s),Adpative_Test_Trial(3-2),3 & 2,1,0,1,$2.7
103,17,0.721(s),Adpative_Trial(4-1),4 & 5,1,0,1,$2.8
104,17,1.825(s),Control_Test_Trial(4-1),4 & 5,1,0,1,$2.9
105,17,1.107(s),Adpative_Test_Trial(9-2),10 & 11,1,0,1,$3
106,17,1.464(s),Control_Trial(9-2),7 & 8,1,0,1,$3.1
107,17,2.001(s),Control_Test_Trial(9-2),10 & 11,0,1,-1,$2.1
108,17,0.167(s),Adpative_Test_Trial(4-1),4 & 5,-1,0,0,$1.85
109,18,1.133(s),Adpative_Trial(5-1),5 & 4,0,0,0,$1.6
110,18,1.108(s),Control_Test_Trial(5-1),4 & 4,0,0,0.5,$1.35
111,18,1.093(s),Adpative_Test_Trial(10-2),11 & 11,0,0,0.5,$1.1
112,18,0.91(s),Control_Trial(10-2),11 & 10,1,0,1,$1.2
113,18,1.149(s),Control_Test_Trial(10-2),11 & 11,0,0,0.5,$0.95000000000001
114,18,1.395(s),Adpative_Test_Trial(5-1),4 & 4,0,0,0.5,$0.70000000000001
115,19,0.95(s),Adpative_Trial(6-1),7 & 6,1,0,1,$0.80000000000001
116,19,0.799(s),Control_Test_Trial(6-1),7 & 6,1,0,1,$0.90000000000001
117,19,1.465(s),Adpative_Test_Trial(10-2),11 & 12,-1,0,0,$0.65000000000001
118,19,1.1(s),Control_Same_Color_Trial(10-2),11 & 11,0,0,0.5,$0.40000000000001
119,19,1.315(s),Control_Test_Trial(10-2),11 & 12,0,0,0,$0.15000000000001
120,19,0.978(s),Adpative_Test_Trial(6-1),7 & 6,1,0,1,$0.25
121,20,0.99(s),Adpative_Trial(7-1),7 & 6,1,0,1,$0.35
122,20,0.974(s),Control_Test_Trial(7-1),7 & 8,1,0,1,$0.45
123,20,1.519(s),Adpative_Test_Trial(3-2),2 & 1,-1,0,0,$0.2
124,20,0.982(s),Control_Trial(3-2),1 & 2,1,0,1,$0.3
125,20,0.813(s),Control_Test_Trial(3-2),2 & 1,1,0,1,$0.4
126,20,1.183(s),Adpative_Test_Trial(7-1),7 & 8,1,0,1,$0.5
127,21,0.993(s),Adpative_Trial(8-1),7 & 8,1,0,1,$0.6
128,21,0.916(s),Control_Test_Trial(8-1),8 & 9,1,0,1,$0.7
129,21,1.21(s),Adpative_Test_Trial(3-2),2 & 1,1,0,1,$0.8
130,21,0.841(s),Control_Trial(3-2),3 & 2,1,0,1,$0.9
131,21,0.995(s),Control_Test_Trial(3-2),2 & 1,1,0,1,$1
132,21,1.519(s),Adpative_Test_Trial(8-1),8 & 9,1,0,1,$1.1
133,22,1.399(s),Adpative_Trial(9-1),8 & 9,-1,0,0,$0.85
134,22,0.91(s),Control_Test_Trial(9-1),10 & 9,1,0,1,$0.95
135,22,1.046(s),Adpative_Test_Trial(3-2),3 & 2,1,0,1,$1.05
136,22,1.092(s),Control_Trial(3-2),2 & 1,1,0,1,$1.15
137,22,0.995(s),Control_Test_Trial(3-2),3 & 2,1,0,1,$1.25
