session_id,participant__id_in_session,participant__code,page_index,app_name,page_name,epoch_time,seconds_on_page,subsession_pk,auto_submitted
1,11,rudpup14,5,tt,Questions,1579035637,35,1,False
1,11,rudpup14,6,wordscra,Task,1579035713,76,1,False
1,11,rudpup14,7,postexp,Risk,1579035734,21,1,False
1,11,rudpup14,8,postexp,Pref1,1579035807,73,1,False
1,11,rudpup14,9,postexp,Pref2,1579035853,46,1,False
1,11,rudpup14,10,postexp,Demographics,1579035911,58,1,False
1,11,rudpup14,11,postexp,ResultsTask,1579035922,11,1,False
1,12,t626x8de,1,tt,Instructions,1579075693,72,1,False
1,12,t626x8de,2,tt,Task,1579075733,40,1,False
1,12,t626x8de,3,tt,BeliefInstructions,1579075744,11,1,False
1,12,t626x8de,4,tt,Beliefs,1579075852,108,1,False
1,12,t626x8de,5,tt,Questions,1579075868,16,1,False
1,12,t626x8de,6,wordscra,Task,1579075922,54,1,False
1,12,t626x8de,7,postexp,Risk,1579075931,9,1,False
1,12,t626x8de,8,postexp,Pref1,1579075967,36,1,False
1,12,t626x8de,9,postexp,Pref2,1579075987,20,1,False
1,12,t626x8de,10,postexp,Demographics,1579076026,39,1,False
1,12,t626x8de,11,postexp,ResultsTask,1579076035,9,1,False
1,13,tavo4fh4,1,tt,Instructions,1579101982,119,1,False
1,13,tavo4fh4,2,tt,Task,1579102016,34,1,False
1,13,tavo4fh4,3,tt,BeliefInstructions,1579102029,13,1,False
1,13,tavo4fh4,4,tt,Beliefs,1579102047,18,1,False
1,13,tavo4fh4,5,tt,Questions,1579102062,15,1,False
1,13,tavo4fh4,6,wordscra,Task,1579102113,51,1,False
1,13,tavo4fh4,7,postexp,Risk,1579102123,10,1,False
1,13,tavo4fh4,8,postexp,Pref1,1579102155,32,1,False
1,13,tavo4fh4,9,postexp,Pref2,1579102215,60,1,False
1,13,tavo4fh4,10,postexp,Demographics,1579102263,48,1,False
1,13,tavo4fh4,11,postexp,ResultsTask,1579102279,16,1,False
1,14,ivul4918,1,tt,Instructions,1579162773,53,1,False
1,14,ivul4918,2,tt,Task,1579162810,37,1,False
1,14,ivul4918,3,tt,BeliefInstructions,1579162823,13,1,False
1,14,ivul4918,4,tt,Beliefs,1579162889,66,1,False
