Trial#,Sequence#,Response Time,Trial Type(mean-std),Shade,Resp,Missed,Reply,Accumulated Amount
1,6,0.692(s),Control_Trial(3-1),3 & 2,1,0,1,$0.1
2,6,0.724(s),Control_Trial(3-1),2 & 3,1,0,1,$0.2
3,6,1.228(s),Control_Trial(3-1),2 & 3,1,0,1,$0.3
4,6,1.263(s),Control_Trial(3-1),3 & 4,0,0,0,$0.05
5,6,0.941(s),Control_Trial(3-1),4 & 3,1,0,1,$0.15
6,6,1.109(s),Control_Trial(3-1),4 & 3,1,0,1,$0.25
7,6,1.155(s),Control_Trial(3-1),3 & 2,1,0,1,$0.35
8,6,0.946(s),Control_Trial(3-1),3 & 4,1,0,1,$0.45
9,6,0.917(s),Control_Trial(3-1),3 & 2,1,0,1,$0.55
10,6,0.859(s),Control_Trial(3-1),2 & 3,1,0,1,$0.65
11,6,0.787(s),Control_Same_Color_Trial(3-1),3 & 3,0,0,0.5,$0.4
12,6,0.95(s),Control_Trial(3-1),4 & 3,1,0,1,$0.5
13,6,0.817(s),Control_Trial(3-1),3 & 4,1,0,1,$0.6
14,6,1.332(s),Control_Trial(3-1),3 & 2,1,0,1,$0.7
15,6,0.952(s),Control_Trial(3-1),3 & 2,1,0,1,$0.8
16,6,1.236(s),Control_Trial(3-1),3 & 2,1,0,1,$0.9
17,6,1.471(s),Control_Trial(3-1),3 & 2,1,0,1,$1
18,6,0.707(s),Control_Trial(3-1),2 & 3,1,0,1,$1.1
19,6,1.152(s),Control_Trial(3-1),2 & 3,1,0,1,$1.2
20,6,0.884(s),Control_Trial(3-1),2 & 3,1,0,1,$1.3
21,6,1.083(s),Control_Trial(3-1),3 & 4,1,0,1,$1.4
22,6,0.748(s),Control_Trial(3-1),3 & 2,1,0,1,$1.5
23,6,0.866(s),Control_Trial(3-1),4 & 3,1,0,1,$1.6
24,6,0.922(s),Control_Trial(3-1),3 & 4,1,0,1,$1.7
25,6,1.016(s),Control_Trial(3-1),2 & 3,1,0,1,$1.8
26,6,0.746(s),Control_Trial(3-1),3 & 2,1,0,1,$1.9
27,6,1.37(s),Control_Same_Color_Trial(3-1),3 & 3,0,0,0.5,$1.65
28,6,0.86(s),Control_Trial(3-1),3 & 2,1,0,1,$1.75
29,6,0.859(s),Control_Trial(3-1),4 & 3,1,0,1,$1.85
30,6,1.268(s),Control_Trial(3-1),4 & 3,1,0,1,$1.95
31,6,0.952(s),Control_Trial(3-1),3 & 2,1,0,1,$2.05
32,6,1.078(s),Control_Trial(3-1),3 & 4,1,0,1,$2.15
33,6,1.131(s),Control_Trial(3-1),3 & 2,1,0,1,$2.25
34,6,1.951(s),Control_Same_Color_Trial(3-1),4 & 4,0,0,0.5,$2
35,6,0.752(s),Control_Same_Color_Trial(3-1),4 & 4,0,0,0.5,$1.75
36,6,1.099(s),Control_Trial(3-1),3 & 2,1,0,1,$1.85
37,6,0.703(s),Control_Trial(3-1),3 & 4,1,0,1,$1.95
38,6,0.649(s),Control_Trial(3-1),3 & 4,1,0,1,$2.05
39,6,0.754(s),Control_Trial(3-1),4 & 3,1,0,1,$2.15
40,6,0.626(s),Control_Trial(3-1),3 & 4,1,0,1,$2.25
41,6,0.979(s),Control_Trial(3-1),2 & 3,1,0,1,$2.35
42,6,0.577(s),Control_Trial(3-1),3 & 2,1,0,1,$2.45
43,6,0.939(s),Control_Same_Color_Trial(3-1),2 & 2,1,0,1,$2.55
44,6,0.568(s),Control_Trial(3-1),3 & 2,1,0,1,$2.65
45,6,0.764(s),Control_Trial(3-1),3 & 4,1,0,1,$2.75
46,6,0.832(s),Control_Test_Trial(3-1),3 & 2,1,0,1,$2.85
47,6,0.883(s),Adpative_Test_Trial(9-1),9 & 8,1,0,1,$2.95
48,7,0.913(s),Control_Trial(3-2),4 & 5,1,0,1,$3.05
49,7,0.972(s),Control_Same_Color_Trial(3-2),5 & 5,0,0,0.5,$2.8
50,7,0.834(s),Control_Trial(3-2),5 & 4,1,0,1,$2.9
51,7,0.879(s),Control_Trial(3-2),2 & 1,1,0,1,$3
52,7,1.239(s),Control_Trial(3-2),2 & 1,1,0,1,$3.1
53,7,0.86(s),Control_Trial(3-2),4 & 3,1,0,1,$3.2
54,7,0.869(s),Control_Trial(3-2),1 & 2,1,0,1,$3.3
55,7,0.784(s),Control_Trial(3-2),2 & 3,1,0,1,$3.4
56,7,0.685(s),Control_Trial(3-2),4 & 3,1,0,1,$3.5
57,7,0.767(s),Control_Trial(3-2),2 & 3,1,0,1,$3.6
58,7,0.597(s),Control_Trial(3-2),2 & 1,1,0,1,$3.7
59,7,0.589(s),Control_Trial(3-2),2 & 3,1,0,1,$3.8
60,7,0.608(s),Control_Trial(3-2),2 & 1,1,0,1,$3.9
