Trial#,Sequence#,Response Time,Trial Type(mean-std),Shade,Resp,Missed,Reply,Accumulated Amount
1,6,0.996(s),Control_Trial(3-2),5 & 4,1,0,1,$0.1
2,6,0.862(s),Control_Trial(3-2),3 & 2,1,0,1,$0.2
3,6,1.156(s),Control_Trial(3-2),5 & 4,1,0,1,$0.3
4,6,0.842(s),Control_Trial(3-2),3 & 2,1,0,1,$0.4
5,6,1.435(s),Control_Trial(3-2),3 & 2,1,0,1,$0.5
6,6,0.714(s),Control_Trial(3-2),2 & 3,1,0,1,$0.6
7,6,0.917(s),Control_Trial(3-2),2 & 3,1,0,1,$0.7
8,6,0.843(s),Control_Trial(3-2),1 & 2,1,0,1,$0.8
9,6,0.779(s),Control_Trial(3-2),1 & 2,1,0,1,$0.9
10,6,1.23(s),Control_Same_Color_Trial(3-2),3 & 3,1,0,1,$1
11,6,0.668(s),Control_Trial(3-2),4 & 3,1,0,1,$1.1
12,6,0.587(s),Control_Trial(3-2),3 & 4,1,0,1,$1.2
13,6,1.101(s),Control_Trial(3-2),4 & 5,1,0,1,$1.3
14,6,0.749(s),Control_Trial(3-2),3 & 2,1,0,1,$1.4
15,6,0.538(s),Control_Trial(3-2),2 & 3,1,0,1,$1.5
16,6,0.775(s),Control_Trial(3-2),3 & 2,1,0,1,$1.6
17,6,0.635(s),Control_Trial(3-2),2 & 3,1,0,1,$1.7
18,6,1.194(s),Control_Same_Color_Trial(3-2),1 & 1,0,0,0.5,$1.45
19,6,0.947(s),Control_Trial(3-2),3 & 2,1,0,1,$1.55
20,6,0.784(s),Control_Trial(3-2),3 & 2,1,0,1,$1.65
21,6,0.783(s),Control_Trial(3-2),2 & 1,1,0,1,$1.75
22,6,0.932(s),Control_Trial(3-2),2 & 1,1,0,1,$1.85
23,6,0.586(s),Control_Trial(3-2),2 & 3,1,0,1,$1.95
24,6,0.62(s),Control_Trial(3-2),1 & 2,1,0,1,$2.05
25,6,0.81(s),Control_Trial(3-2),5 & 4,1,0,1,$2.15
26,6,0.787(s),Control_Trial(3-2),3 & 2,1,0,1,$2.25
27,6,0.506(s),Control_Trial(3-2),3 & 4,1,0,1,$2.35
28,6,0.935(s),Control_Trial(3-2),1 & 2,1,0,1,$2.45
