session_id,participant__id_in_session,participant__code,page_index,app_name,page_name,time_stamp,seconds_on_page,subsession_pk,auto_submitted
1,10,j9wxpm4a,2,tt,Task,1544536090,40,1,False
1,10,j9wxpm4a,3,tt,BeliefInstructions,1544536104,14,1,False
1,10,j9wxpm4a,4,tt,Beliefs,1544536130,26,1,False
1,10,j9wxpm4a,5,wordscra,Task,1544536163,33,1,False
1,10,j9wxpm4a,6,postexp,Risk,1544536173,10,1,False
1,10,j9wxpm4a,7,postexp,Pref1,1544536208,35,1,False
1,10,j9wxpm4a,8,postexp,Pref2,1544536238,30,1,False
1,10,j9wxpm4a,9,postexp,Demographics,1544536277,39,1,False
1,10,j9wxpm4a,10,postexp,ResultsTask,1544536294,17,1,False
1,11,msfpfpwu,1,tt,Instructions,1544536162,92,1,False
1,11,msfpfpwu,2,tt,Task,1544536244,82,1,False
1,11,msfpfpwu,3,tt,BeliefInstructions,1544536256,12,1,False
1,11,msfpfpwu,4,tt,Beliefs,1544536287,31,1,False
1,11,msfpfpwu,5,wordscra,Task,1544536347,60,1,False
1,11,msfpfpwu,6,postexp,Risk,1544536355,8,1,False
1,11,msfpfpwu,7,postexp,Pref1,1544536381,26,1,False
1,11,msfpfpwu,8,postexp,Pref2,1544536398,17,1,False
1,11,msfpfpwu,9,postexp,Demographics,1544536432,34,1,False
1,11,msfpfpwu,10,postexp,ResultsTask,1544536443,11,1,False
1,12,2792njue,1,tt,Instructions,1544536570,162,1,False
1,12,2792njue,2,tt,Task,1544536639,69,1,False
1,12,2792njue,3,tt,BeliefInstructions,1544536667,28,1,False
1,12,2792njue,4,tt,Beliefs,1544536689,22,1,False
1,12,2792njue,5,wordscra,Task,1544536765,76,1,False
1,12,2792njue,6,postexp,Risk,1544536779,14,1,False
1,12,2792njue,7,postexp,Pref1,1544536825,46,1,False
1,12,2792njue,8,postexp,Pref2,1544536855,30,1,False
1,12,2792njue,9,postexp,Demographics,1544536917,62,1,False
1,12,2792njue,10,postexp,ResultsTask,1544536927,10,1,False
1,13,sppuzflf,1,tt,Instructions,1544536540,94,1,False
1,13,sppuzflf,2,tt,Task,1544536578,38,1,False
1,13,sppuzflf,3,tt,BeliefInstructions,1544536596,18,1,False
1,13,sppuzflf,4,tt,Beliefs,1544536720,124,1,False
1,13,sppuzflf,5,wordscra,Task,1544536852,132,1,False
1,13,sppuzflf,6,postexp,Risk,1544536863,11,1,False
1,13,sppuzflf,7,postexp,Pref1,1544536922,59,1,False
1,13,sppuzflf,8,postexp,Pref2,1544536950,28,1,False
1,13,sppuzflf,9,postexp,Demographics,1544537006,56,1,False
1,13,sppuzflf,10,postexp,ResultsTask,1544537020,14,1,False
1,16,05tsfzra,1,tt,Instructions,1544536952,56,1,False
1,16,05tsfzra,2,tt,Task,1544536990,38,1,False
1,16,05tsfzra,3,tt,BeliefInstructions,1544537008,18,1,False
1,16,05tsfzra,4,tt,Beliefs,1544537046,38,1,False
1,16,05tsfzra,5,wordscra,Task,1544537234,188,1,False
1,16,05tsfzra,6,postexp,Risk,1544537246,12,1,False
1,16,05tsfzra,7,postexp,Pref1,1544537287,41,1,False
1,16,05tsfzra,8,postexp,Pref2,1544537314,27,1,False
1,16,05tsfzra,9,postexp,Demographics,1544537376,62,1,False
1,16,05tsfzra,10,postexp,ResultsTask,1544537383,7,1,False
1,17,dio5y9lu,1,tt,Instructions,1544537173,161,1,False
1,17,dio5y9lu,2,tt,Task,1544537258,85,1,False
1,17,dio5y9lu,3,tt,BeliefInstructions,1544537280,22,1,False
1,17,dio5y9lu,4,tt,Beliefs,1544537327,47,1,False
1,17,dio5y9lu,5,wordscra,Task,1544537567,240,1,False
1,17,dio5y9lu,6,postexp,Risk,1544537579,12,1,False
1,17,dio5y9lu,7,postexp,Pref1,1544537641,62,1,False
1,17,dio5y9lu,8,postexp,Pref2,1544537693,52,1,False
1,17,dio5y9lu,9,postexp,Demographics,1544537819,126,1,False
1,17,dio5y9lu,10,postexp,ResultsTask,1544537828,9,1,False
1,18,0be3p8vf,1,tt,Instructions,1544537183,22,1,False
1,18,0be3p8vf,2,tt,Task,1544537204,21,1,False
1,18,0be3p8vf,3,tt,BeliefInstructions,1544537208,4,1,False
1,18,0be3p8vf,4,tt,Beliefs,1544537258,50,1,False
1,18,0be3p8vf,5,wordscra,Task,1544537433,175,1,False
1,18,0be3p8vf,6,postexp,Risk,1544537448,15,1,False
1,18,0be3p8vf,7,postexp,Pref1,1544537490,42,1,False
1,18,0be3p8vf,8,postexp,Pref2,1544537511,21,1,False
1,18,0be3p8vf,9,postexp,Demographics,1544537611,100,1,False
1,18,0be3p8vf,10,postexp,ResultsTask,1544537626,15,1,False
1,19,0cpk0fx7,1,tt,Instructions,1544537801,136,1,False
1,19,0cpk0fx7,2,tt,Task,1544537842,41,1,False
1,19,0cpk0fx7,3,tt,BeliefInstructions,1544537856,14,1,False
1,19,0cpk0fx7,4,tt,Beliefs,1544537892,36,1,False
1,19,0cpk0fx7,5,wordscra,Task,1544537983,91,1,False
1,19,0cpk0fx7,6,postexp,Risk,1544537997,14,1,False
1,19,0cpk0fx7,7,postexp,Pref1,1544538039,42,1,False
1,19,0cpk0fx7,8,postexp,Pref2,1544538065,26,1,False
1,19,0cpk0fx7,9,postexp,Demographics,1544538125,60,1,False
1,19,0cpk0fx7,10,postexp,ResultsTask,1544538167,42,1,False
1,20,p2v11qpb,1,tt,Instructions,1544537866,167,1,False
1,20,p2v11qpb,2,tt,Task,1544537904,38,1,False
1,20,p2v11qpb,3,tt,BeliefInstructions,1544537918,14,1,False
1,20,p2v11qpb,4,tt,Beliefs,1544537942,24,1,False
1,20,p2v11qpb,5,wordscra,Task,1544538033,91,1,False
1,20,p2v11qpb,6,postexp,Risk,1544538046,13,1,False
1,20,p2v11qpb,7,postexp,Pref1,1544538099,53,1,False
1,20,p2v11qpb,8,postexp,Pref2,1544538122,23,1,False
1,20,p2v11qpb,9,postexp,Demographics,1544538181,59,1,False
1,20,p2v11qpb,10,postexp,ResultsTask,1544538193,12,1,False
1,22,iehhvx25,1,tt,Instructions,1544538055,82,1,False
1,22,iehhvx25,2,tt,Task,1544538077,22,1,False
1,22,iehhvx25,3,tt,BeliefInstructions,1544538091,14,1,False
1,22,iehhvx25,4,tt,Beliefs,1544538126,35,1,False
1,22,iehhvx25,5,wordscra,Task,1544538214,88,1,False
1,22,iehhvx25,6,postexp,Risk,1544538228,14,1,False
1,22,iehhvx25,7,postexp,Pref1,1544538271,43,1,False
1,22,iehhvx25,8,postexp,Pref2,1544538298,27,1,False
1,22,iehhvx25,9,postexp,Demographics,1544538462,164,1,False
1,22,iehhvx25,10,postexp,ResultsTask,1544538533,71,1,False
1,23,i7mw5104,1,tt,Instructions,1544539251,752,1,False
1,23,i7mw5104,2,tt,Task,1544539293,42,1,False
1,23,i7mw5104,3,tt,BeliefInstructions,1544539309,16,1,False
1,23,i7mw5104,4,tt,Beliefs,1544539356,47,1,False
1,23,i7mw5104,5,wordscra,Task,1544539454,98,1,False
1,23,i7mw5104,6,postexp,Risk,1544539468,14,1,False
1,23,i7mw5104,7,postexp,Pref1,1544539569,101,1,False
1,23,i7mw5104,8,postexp,Pref2,1544539610,41,1,False
1,23,i7mw5104,9,postexp,Demographics,1544539693,83,1,False
1,23,i7mw5104,10,postexp,ResultsTask,1544539718,25,1,False
1,24,00vodcyc,1,tt,Instructions,1544538540,23,1,False
1,24,00vodcyc,2,tt,Task,1544538610,70,1,False
1,24,00vodcyc,3,tt,BeliefInstructions,1544538623,13,1,False
1,24,00vodcyc,4,tt,Beliefs,1544538664,41,1,False
1,24,00vodcyc,5,wordscra,Task,1544538807,143,1,False
1,24,00vodcyc,6,postexp,Risk,1544538818,11,1,False
1,24,00vodcyc,7,postexp,Pref1,1544538860,42,1,False
1,24,00vodcyc,8,postexp,Pref2,1544538882,22,1,False
1,24,00vodcyc,9,postexp,Demographics,1544538950,68,1,False
1,24,00vodcyc,10,postexp,ResultsTask,1544538962,12,1,False
1,26,nr45skna,1,tt,Instructions,1544538630,37,1,False
1,26,nr45skna,2,tt,Task,1544538660,30,1,False
1,26,nr45skna,3,tt,BeliefInstructions,1544538672,12,1,False
1,26,nr45skna,4,tt,Beliefs,1544538725,53,1,False
1,26,nr45skna,5,wordscra,Task,1544538759,34,1,False
1,26,nr45skna,6,postexp,Risk,1544538768,9,1,False
1,26,nr45skna,7,postexp,Pref1,1544538808,40,1,False
1,26,nr45skna,8,postexp,Pref2,1544538824,16,1,False
1,26,nr45skna,9,postexp,Demographics,1544538868,44,1,False
1,26,nr45skna,10,postexp,ResultsTask,1544538879,11,1,False
1,29,r07bo42u,1,tt,Instructions,1544539855,364,1,False
1,29,r07bo42u,2,tt,Task,1544539974,119,1,False
1,29,r07bo42u,3,tt,BeliefInstructions,1544539996,22,1,False
1,29,r07bo42u,4,tt,Beliefs,1544540053,57,1,False
1,29,r07bo42u,5,wordscra,Task,1544540168,115,1,False
1,29,r07bo42u,6,postexp,Risk,1544540193,25,1,False
1,29,r07bo42u,7,postexp,Pref1,1544540326,133,1,False
1,29,r07bo42u,8,postexp,Pref2,1544540398,72,1,False
1,29,r07bo42u,9,postexp,Demographics,1544540511,113,1,False
1,29,r07bo42u,10,postexp,ResultsTask,1544540529,18,1,False
1,30,8sslnt8i,1,tt,Instructions,1544539776,63,1,False
1,30,8sslnt8i,2,tt,Task,1544539808,32,1,False
1,30,8sslnt8i,3,tt,BeliefInstructions,1544539819,11,1,False
1,30,8sslnt8i,4,tt,Beliefs,1544539873,54,1,False
1,30,8sslnt8i,5,wordscra,Task,1544540065,192,1,False
1,30,8sslnt8i,6,postexp,Risk,1544540079,14,1,False
1,30,8sslnt8i,7,postexp,Pref1,1544540118,39,1,False
1,30,8sslnt8i,8,postexp,Pref2,1544540140,22,1,False
1,30,8sslnt8i,9,postexp,Demographics,1544540213,73,1,False
1,30,8sslnt8i,10,postexp,ResultsTask,1544540223,10,1,False
1,31,4hygov66,1,tt,Instructions,1544539784,63,1,False
1,31,4hygov66,2,tt,Task,1544539812,28,1,False
1,31,4hygov66,3,tt,BeliefInstructions,1544539831,19,1,False
1,31,4hygov66,4,tt,Beliefs,1544539947,116,1,False
1,31,4hygov66,5,wordscra,Task,1544540043,96,1,False
1,31,4hygov66,6,postexp,Risk,1544540063,20,1,False
1,31,4hygov66,7,postexp,Pref1,1544540117,54,1,False
1,31,4hygov66,8,postexp,Pref2,1544540149,32,1,False
1,31,4hygov66,9,postexp,Demographics,1544540226,77,1,False
1,31,4hygov66,10,postexp,ResultsTask,1544540234,8,1,False
1,32,nz6vl9cu,1,tt,Instructions,1544541661,1512,1,False
1,32,nz6vl9cu,2,tt,Task,1544541688,27,1,False
1,32,nz6vl9cu,3,tt,BeliefInstructions,1544541704,16,1,False
1,32,nz6vl9cu,4,tt,Beliefs,1544541748,44,1,False
1,32,nz6vl9cu,5,wordscra,Task,1544541903,155,1,False
1,32,nz6vl9cu,6,postexp,Risk,1544541911,8,1,False
1,32,nz6vl9cu,7,postexp,Pref1,1544541966,55,1,False
1,32,nz6vl9cu,8,postexp,Pref2,1544542000,34,1,False
1,32,nz6vl9cu,9,postexp,Demographics,1544542068,68,1,False
1,32,nz6vl9cu,10,postexp,ResultsTask,1544542085,17,1,False
1,34,l7iabrhg,1,tt,Instructions,1544540691,16,1,False
1,34,l7iabrhg,2,tt,Task,1544540714,23,1,False
1,34,l7iabrhg,3,tt,BeliefInstructions,1544540724,10,1,False
1,34,l7iabrhg,4,tt,Beliefs,1544540749,25,1,False
1,34,l7iabrhg,5,wordscra,Task,1544540843,94,1,False
1,34,l7iabrhg,6,postexp,Risk,1544540855,12,1,False
1,34,l7iabrhg,7,postexp,Pref1,1544540899,44,1,False
1,34,l7iabrhg,8,postexp,Pref2,1544540926,27,1,False
1,34,l7iabrhg,9,postexp,Demographics,1544541002,76,1,False
1,34,l7iabrhg,10,postexp,ResultsTask,1544541009,7,1,False
1,35,p2w6yucs,1,tt,Instructions,1544540941,73,1,False
1,35,p2w6yucs,2,tt,Task,1544540981,40,1,False
1,35,p2w6yucs,3,tt,BeliefInstructions,1544540995,14,1,False
1,35,p2w6yucs,4,tt,Beliefs,1544541020,25,1,False
