Trial#,Sequence#,Response Time,Trial Type(mean-std),Shade,Resp,Missed,Reply,Accumulated Amount
1,6,1.468(s),Control_Trial(3-1),3 & 4,1,0,1,$0.1
2,6,0.972(s),Control_Trial(3-1),3 & 2,1,0,1,$0.2
3,6,1.047(s),Control_Trial(3-1),3 & 2,1,0,1,$0.3
4,6,1.133(s),Control_Trial(3-1),4 & 3,1,0,1,$0.4
5,6,0.668(s),Control_Trial(3-1),3 & 4,1,0,1,$0.5
6,6,0.871(s),Control_Trial(3-1),3 & 4,1,0,1,$0.6
7,6,1.027(s),Control_Trial(3-1),2 & 3,1,0,1,$0.7
8,6,0.564(s),Control_Trial(3-1),3 & 2,1,0,1,$0.8
9,6,0.85(s),Control_Trial(3-1),3 & 2,1,0,1,$0.9
10,6,0.787(s),Control_Trial(3-1),3 & 4,1,0,1,$1
11,6,0.716(s),Control_Trial(3-1),3 & 2,1,0,1,$1.1
12,6,0.805(s),Control_Trial(3-1),3 & 2,1,0,1,$1.2
13,6,1.833(s),Control_Trial(3-1),3 & 2,1,0,1,$1.3
14,6,0.939(s),Control_Trial(3-1),3 & 2,1,0,1,$1.4
15,6,0.796(s),Control_Trial(3-1),3 & 4,1,0,1,$1.5
16,6,0.607(s),Control_Trial(3-1),4 & 3,1,0,1,$1.6
17,6,0.72(s),Control_Trial(3-1),2 & 3,1,0,1,$1.7
18,6,0.583(s),Control_Trial(3-1),3 & 2,1,0,1,$1.8
19,6,0.543(s),Control_Trial(3-1),3 & 4,1,0,1,$1.9
20,6,0.66(s),Control_Trial(3-1),3 & 2,1,0,1,$2
21,6,0.747(s),Control_Trial(3-1),2 & 3,1,0,1,$2.1
22,6,0.443(s),Control_Trial(3-1),4 & 3,1,0,1,$2.2
23,6,0.58(s),Control_Trial(3-1),2 & 3,1,0,1,$2.3
24,6,0.633(s),Control_Trial(3-1),3 & 2,1,0,1,$2.4
25,6,0.85(s),Control_Trial(3-1),3 & 2,1,0,1,$2.5
26,6,1.379(s),Control_Same_Color_Trial(3-1),4 & 4,1,0,1,$2.6
27,6,0.65(s),Control_Trial(3-1),4 & 3,1,0,1,$2.7
28,6,0.572(s),Control_Same_Color_Trial(3-1),4 & 4,0,0,0.5,$2.45
29,6,0.781(s),Control_Trial(3-1),3 & 2,1,0,1,$2.55
30,6,0.739(s),Control_Trial(3-1),3 & 4,1,0,1,$2.65
31,6,0.739(s),Control_Trial(3-1),3 & 2,1,0,1,$2.75
32,6,1.068(s),Control_Trial(3-1),4 & 3,1,0,1,$2.85
33,6,0.573(s),Control_Trial(3-1),3 & 4,1,0,1,$2.95
34,6,0.874(s),Control_Trial(3-1),2 & 3,1,0,1,$3.05
35,6,0.82(s),Control_Trial(3-1),3 & 4,1,0,1,$3.15
36,6,0.984(s),Control_Trial(3-1),3 & 2,1,0,1,$3.25
37,6,1.538(s),Control_Same_Color_Trial(3-1),2 & 2,1,0,1,$3.35
38,6,0.652(s),Control_Same_Color_Trial(3-1),3 & 3,0,0,0.5,$3.1
39,6,0.98(s),Control_Trial(3-1),3 & 4,1,0,1,$3.2
40,6,0.545(s),Control_Same_Color_Trial(3-1),4 & 4,0,0,0.5,$2.95
41,6,0.858(s),Control_Trial(3-1),3 & 2,1,0,1,$3.05
42,6,0.614(s),Control_Trial(3-1),3 & 2,1,0,1,$3.15
43,6,0.913(s),Control_Trial(3-1),4 & 3,1,0,1,$3.25
44,6,0.547(s),Control_Trial(3-1),3 & 4,1,0,1,$3.35
45,6,0.759(s),Control_Trial(3-1),3 & 4,1,0,1,$3.45
46,6,0.811(s),Control_Test_Trial(3-1),2 & 3,1,0,1,$3.55
47,6,1.792(s),Adpative_Test_Trial(10-2),11 & 10,-1,0,0,$3.3
48,0,0.866(s),Adpative_Trial(3-1),3 & 4,1,0,1,$3.4
49,0,0.652(s),Adpative_Trial(3-1),3 & 2,1,0,1,$3.5
50,0,0.579(s),Adpative_Same_Color_Trial(3-1),3 & 3,0,0,0.5,$3.25
51,0,0.56(s),Adpative_Trial(3-1),4 & 3,1,0,1,$3.35
52,0,0.564(s),Adpative_Same_Color_Trial(3-1),3 & 3,0,0,0.5,$3.1
53,0,0.476(s),Adpative_Trial(3-1),3 & 2,1,0,1,$3.2
54,0,0.635(s),Adpative_Trial(3-1),3 & 4,1,0,1,$3.3
55,0,0.702(s),Adpative_Trial(3-1),3 & 4,1,0,1,$3.4
56,0,1.044(s),Adpative_Same_Color_Trial(3-1),2 & 2,0,0,0.5,$3.15
57,0,0.615(s),Adpative_Trial(3-1),2 & 3,1,0,1,$3.25
58,0,0.53(s),Adpative_Same_Color_Trial(3-1),3 & 3,0,0,0.5,$3
59,0,0.439(s),Adpative_Trial(3-1),2 & 3,1,0,1,$3.1
60,0,0.518(s),Adpative_Trial(3-1),3 & 4,0,0,0,$2.85
61,0,0.764(s),Adpative_Trial(3-1),4 & 3,1,0,1,$2.95
62,0,0.557(s),Adpative_Trial(3-1),3 & 4,1,0,1,$3.05
63,0,0.58(s),Adpative_Trial(3-1),3 & 2,1,0,1,$3.15
64,0,0.514(s),Adpative_Trial(3-1),3 & 4,1,0,1,$3.25
65,0,0.454(s),Adpative_Trial(3-1),4 & 3,1,0,1,$3.35
66,0,0.843(s),Adpative_Trial(3-1),3 & 2,-1,0,0,$3.1
67,0,0.611(s),Adpative_Trial(3-1),3 & 2,1,0,1,$3.2
68,0,0.687(s),Adpative_Trial(3-1),4 & 3,0,0,0,$2.95
69,0,1.146(s),Adpative_Trial(3-1),3 & 2,1,0,1,$3.05
70,0,0.763(s),Adpative_Trial(3-1),3 & 4,1,0,1,$3.15
71,0,0.673(s),Adpative_Trial(3-1),3 & 2,1,0,1,$3.25
72,0,0.563(s),Adpative_Trial(3-1),3 & 4,1,0,1,$3.35
73,0,0.523(s),Adpative_Same_Color_Trial(3-1),4 & 4,0,0,0.5,$3.1
74,0,0.93(s),Adpative_Trial(3-1),3 & 2,1,0,1,$3.2
75,0,0.723(s),Adpative_Trial(3-1),3 & 2,1,0,1,$3.3
76,0,0.571(s),Adpative_Trial(3-1),2 & 3,1,0,1,$3.4
77,0,0.796(s),Adpative_Trial(3-1),2 & 3,1,0,1,$3.5
78,0,0.608(s),Adpative_Trial(3-1),3 & 2,1,0,1,$3.6
79,0,0.549(s),Adpative_Trial(3-1),3 & 2,1,0,1,$3.7
80,0,0.602(s),Adpative_Trial(3-1),3 & 4,1,0,1,$3.8
81,0,0.798(s),Adpative_Trial(3-1),3 & 4,1,0,1,$3.9
82,0,0.975(s),Adpative_Trial(3-1),3 & 2,1,0,1,$4
83,0,0.653(s),Adpative_Trial(3-1),3 & 4,1,0,1,$4.1
84,0,0.732(s),Adpative_Trial(3-1),3 & 4,1,0,1,$4.2
85,0,0.621(s),Adpative_Trial(3-1),3 & 4,1,0,1,$4.3
86,0,0.58(s),Adpative_Trial(3-1),3 & 4,1,0,1,$4.4
87,0,0.58(s),Adpative_Trial(3-1),4 & 3,1,0,1,$4.5
88,0,0.549(s),Adpative_Trial(3-1),4 & 3,1,0,1,$4.6
89,0,0.694(s),Adpative_Trial(3-1),3 & 4,1,0,1,$4.7
90,0,0.567(s),Adpative_Trial(3-1),3 & 2,1,0,1,$4.8
91,0,1.633(s),Adpative_Trial(3-1),3 & 2,1,0,1,$4.9
92,0,1.252(s),Adpative_Trial(3-1),3 & 2,1,0,1,$5
93,0,0.816(s),Control_Test_Trial(3-1),3 & 2,1,0,1,$5.1
94,0,1.363(s),Adpative_Test_Trial(9-2),10 & 10,0,0,0.5,$4.85
95,7,0.706(s),Adpative_Trial(3-1),3 & 4,1,0,1,$4.95
96,7,0.857(s),Adpative_Trial(3-1),2 & 3,1,0,1,$5.05
97,7,0.513(s),Adpative_Trial(3-1),4 & 3,1,0,1,$5.15
98,7,0.451(s),Adpative_Trial(3-1),3 & 4,1,0,1,$5.25
99,7,0.735(s),Adpative_Trial(3-1),3 & 4,1,0,1,$5.35
100,7,0.845(s),Adpative_Trial(3-1),2 & 3,1,0,1,$5.45
101,7,0.953(s),Adpative_Trial(3-1),3 & 4,1,0,1,$5.55
102,7,0.534(s),Adpative_Trial(3-1),3 & 2,1,0,1,$5.65
103,7,0.608(s),Adpative_Trial(3-1),3 & 2,1,0,1,$5.75
104,7,0.905(s),Adpative_Trial(3-1),4 & 3,1,0,1,$5.85
105,7,0.827(s),Adpative_Trial(3-1),3 & 2,1,0,1,$5.95
106,7,1.096(s),Adpative_Trial(3-1),3 & 2,1,0,1,$6.05
107,7,1.013(s),Adpative_Trial(3-1),4 & 3,1,0,1,$6.15
108,7,0.713(s),Adpative_Trial(3-1),4 & 3,1,0,1,$6.25
109,7,0.717(s),Adpative_Trial(3-1),3 & 4,1,0,1,$6.35
110,7,0.589(s),Adpative_Trial(3-1),3 & 2,1,0,1,$6.45
111,7,0.868(s),Adpative_Trial(3-1),3 & 2,1,0,1,$6.55
112,7,0.54(s),Adpative_Trial(3-1),3 & 4,1,0,1,$6.65
113,7,0.632(s),Adpative_Trial(3-1),3 & 2,1,0,1,$6.75
114,7,0.529(s),Adpative_Trial(3-1),3 & 4,1,0,1,$6.85
115,7,0.812(s),Adpative_Trial(3-1),2 & 3,1,0,1,$6.95
116,7,0.908(s),Adpative_Trial(3-1),3 & 4,1,0,1,$7.05
117,7,0.549(s),Adpative_Trial(3-1),3 & 2,1,0,1,$7.15
118,7,0.58(s),Adpative_Trial(3-1),2 & 3,1,0,1,$7.25
119,7,0.493(s),Adpative_Same_Color_Trial(3-1),3 & 3,0,0,0.5,$7
120,7,0.908(s),Adpative_Trial(3-1),3 & 2,1,0,1,$7.1
121,7,0.539(s),Adpative_Trial(3-1),3 & 4,1,0,1,$7.2
122,7,0.664(s),Adpative_Trial(3-1),3 & 4,1,0,1,$7.3
123,7,0.564(s),Adpative_Trial(3-1),4 & 3,1,0,1,$7.4
124,7,0.498(s),Adpative_Trial(3-1),4 & 3,1,0,1,$7.5
125,7,1.405(s),Adpative_Same_Color_Trial(3-1),2 & 2,1,0,1,$7.6
126,7,0.653(s),Adpative_Trial(3-1),3 & 4,1,0,1,$7.7
127,7,1.107(s),Adpative_Trial(3-1),3 & 2,1,0,1,$7.8
128,7,1.001(s),Adpative_Trial(3-1),3 & 2,1,0,1,$7.9
129,7,0.627(s),Adpative_Trial(3-1),2 & 3,1,0,1,$8
130,7,0.471(s),Adpative_Trial(3-1),3 & 2,1,0,1,$8.1
131,7,0.913(s),Adpative_Same_Color_Trial(3-1),2 & 2,0,0,0.5,$7.85
132,7,0.854(s),Adpative_Same_Color_Trial(3-1),2 & 2,1,0,1,$7.95
133,7,0.444(s),Adpative_Trial(3-1),3 & 2,1,0,1,$8.05
134,7,0.401(s),Adpative_Trial(3-1),3 & 2,1,0,1,$8.15
135,7,0.63(s),Adpative_Same_Color_Trial(3-1),3 & 3,0,0,0.5,$7.9
136,7,1.196(s),Adpative_Trial(3-1),2 & 3,1,0,1,$8
137,7,0.529(s),Adpative_Trial(3-1),3 & 2,1,0,1,$8.1
138,7,0.5(s),Adpative_Trial(3-1),3 & 4,1,0,1,$8.2
139,7,0.601(s),Adpative_Trial(3-1),3 & 4,1,0,1,$8.3
140,7,1.14(s),Control_Test_Trial(3-1),3 & 2,1,0,1,$8.4
141,7,1.428(s),Adpative_Test_Trial(9-2),11 & 10,-1,0,0,$8.15
142,10,0.753(s),Control_Trial(3-2),3 & 4,1,0,1,$8.25
143,10,0.646(s),Control_Trial(3-2),5 & 4,1,0,1,$8.35
144,10,0.701(s),Control_Same_Color_Trial(3-2),3 & 3,0,0,0.5,$8.1
145,10,1.172(s),Control_Trial(3-2),2 & 1,1,0,1,$8.2
146,10,0.553(s),Control_Trial(3-2),4 & 5,1,0,1,$8.3
147,10,0.986(s),Control_Same_Color_Trial(3-2),3 & 3,0,0,0.5,$8.05
148,10,0.734(s),Control_Trial(3-2),2 & 1,1,0,1,$8.15
149,10,0.54(s),Control_Same_Color_Trial(3-2),3 & 3,0,0,0.5,$7.9
150,10,0.984(s),Control_Trial(3-2),4 & 5,1,0,1,$8
151,10,0.9(s),Control_Trial(3-2),4 & 3,1,0,1,$8.1
152,10,0.553(s),Control_Same_Color_Trial(3-2),2 & 2,0,0,0.5,$7.85
153,10,1.012(s),Control_Trial(3-2),4 & 5,1,0,1,$7.95
154,10,0.843(s),Control_Trial(3-2),1 & 2,1,0,1,$8.05
155,10,1.045(s),Control_Trial(3-2),5 & 4,1,0,1,$8.15
156,10,1.088(s),Control_Trial(3-2),2 & 1,1,0,1,$8.25
157,10,0.549(s),Control_Trial(3-2),3 & 4,1,0,1,$8.35
158,10,0.859(s),Control_Trial(3-2),2 & 3,1,0,1,$8.45
159,10,0.501(s),Control_Trial(3-2),4 & 3,1,0,1,$8.55
160,10,0.54(s),Control_Trial(3-2),1 & 2,1,0,1,$8.65
161,10,0.924(s),Control_Trial(3-2),3 & 4,1,0,1,$8.75
162,10,0.783(s),Control_Trial(3-2),4 & 5,1,0,1,$8.85
163,10,0.809(s),Control_Trial(3-2),4 & 3,1,0,1,$8.95
164,10,0.763(s),Control_Trial(3-2),2 & 3,1,0,1,$9.05
165,10,0.943(s),Control_Trial(3-2),2 & 1,1,0,1,$9.15
166,10,0.722(s),Control_Trial(3-2),4 & 3,0,0,0,$8.9
167,10,0.811(s),Control_Trial(3-2),5 & 4,1,0,1,$9
168,10,0.584(s),Control_Trial(3-2),4 & 5,1,0,1,$9.1
169,10,0.627(s),Control_Trial(3-2),4 & 5,1,0,1,$9.2
170,10,1.12(s),Control_Trial(3-2),2 & 3,1,0,1,$9.3
171,10,0.853(s),Control_Trial(3-2),3 & 4,1,0,1,$9.4
172,10,0.827(s),Control_Trial(3-2),3 & 2,1,0,1,$9.5
173,10,1.071(s),Control_Trial(3-2),1 & 2,1,0,1,$9.6
174,10,0.709(s),Control_Trial(3-2),4 & 3,1,0,1,$9.7
175,10,0.931(s),Control_Trial(3-2),2 & 1,-1,0,0,$9.45
176,10,0.865(s),Control_Trial(3-2),4 & 3,1,0,1,$9.55
177,10,0.774(s),Control_Trial(3-2),5 & 4,1,0,1,$9.65
178,10,1.239(s),Control_Trial(3-2),3 & 2,1,0,1,$9.75
179,10,0.739(s),Control_Trial(3-2),2 & 1,1,0,1,$9.85
180,10,0.652(s),Control_Trial(3-2),2 & 3,1,0,1,$9.95
181,10,0.53(s),Control_Trial(3-2),3 & 2,1,0,1,$10.05
182,10,0.515(s),Control_Trial(3-2),2 & 3,1,0,1,$10.15
183,10,0.484(s),Control_Same_Color_Trial(3-2),4 & 4,0,0,0.5,$9.9
184,10,0.806(s),Control_Trial(3-2),3 & 4,-1,0,0,$9.65
185,10,0.442(s),Control_Trial(3-2),3 & 4,1,0,1,$9.75
186,10,0.588(s),Control_Trial(3-2),5 & 4,1,0,1,$9.85
187,10,1.078(s),Control_Test_Trial(3-2),2 & 1,-1,0,0,$9.6
188,10,1.044(s),Adpative_Test_Trial(7-1),7 & 6,1,0,1,$9.7
189,11,1.011(s),Control_Trial(3-1),3 & 4,1,0,1,$9.8
190,11,0.619(s),Control_Trial(3-1),4 & 3,1,0,1,$9.9
191,11,0.953(s),Control_Trial(3-1),3 & 2,1,0,1,$10
192,11,0.539(s),Control_Trial(3-1),2 & 3,1,0,1,$10.1
193,11,0.505(s),Control_Trial(3-1),4 & 3,1,0,1,$10.2
194,11,0.954(s),Control_Trial(3-1),3 & 2,1,0,1,$10.3
195,11,0.549(s),Control_Trial(3-1),3 & 4,1,0,1,$10.4
196,11,0.81(s),Control_Trial(3-1),2 & 3,1,0,1,$10.5
197,11,0.554(s),Control_Trial(3-1),4 & 3,1,0,1,$10.6
198,11,0.546(s),Control_Trial(3-1),3 & 4,1,0,1,$10.7
199,11,0.775(s),Control_Trial(3-1),2 & 3,1,0,1,$10.8
200,11,0.842(s),Control_Trial(3-1),2 & 3,1,0,1,$10.9
201,11,0.941(s),Control_Trial(3-1),3 & 4,1,0,1,$11
202,11,0.834(s),Control_Trial(3-1),3 & 4,1,0,1,$11.1
203,11,0.659(s),Control_Trial(3-1),4 & 3,1,0,1,$11.2
204,11,0.477(s),Control_Trial(3-1),3 & 4,1,0,1,$11.3
205,11,0.49(s),Control_Trial(3-1),3 & 4,1,0,1,$11.4
206,11,0.6(s),Control_Trial(3-1),4 & 3,1,0,1,$11.5
207,11,0.911(s),Control_Same_Color_Trial(3-1),2 & 2,1,0,1,$11.6
208,11,0.563(s),Control_Trial(3-1),4 & 3,1,0,1,$11.7
209,11,0.83(s),Control_Trial(3-1),3 & 2,1,0,1,$11.8
210,11,0.606(s),Control_Trial(3-1),3 & 4,1,0,1,$11.9
211,11,1.346(s),Control_Same_Color_Trial(3-1),2 & 2,1,0,1,$12
212,11,2.002(s),Control_Same_Color_Trial(3-1),3 & 3,0,1,-1,$11
213,11,0.645(s),Control_Trial(3-1),4 & 3,1,0,1,$11.1
214,11,1.037(s),Control_Trial(3-1),3 & 2,1,0,1,$11.2
215,11,0.607(s),Control_Trial(3-1),2 & 3,1,0,1,$11.3
216,11,0.545(s),Control_Trial(3-1),3 & 2,1,0,1,$11.4
217,11,0.532(s),Control_Trial(3-1),4 & 3,0,0,0,$11.15
218,11,0.689(s),Control_Trial(3-1),3 & 4,1,0,1,$11.25
219,11,0.661(s),Control_Trial(3-1),3 & 4,1,0,1,$11.35
220,11,0.868(s),Control_Trial(3-1),2 & 3,1,0,1,$11.45
221,11,0.593(s),Control_Trial(3-1),3 & 2,1,0,1,$11.55
222,11,0.595(s),Control_Trial(3-1),3 & 4,1,0,1,$11.65
223,11,0.613(s),Control_Trial(3-1),3 & 2,1,0,1,$11.75
224,11,0.467(s),Control_Trial(3-1),3 & 2,1,0,1,$11.85
225,11,1.635(s),Control_Same_Color_Trial(3-1),2 & 2,1,0,1,$11.95
226,11,0.564(s),Control_Trial(3-1),2 & 3,1,0,1,$12.05
227,11,0.847(s),Control_Trial(3-1),2 & 3,1,0,1,$12.15
228,11,0.563(s),Control_Trial(3-1),3 & 4,0,0,0,$11.9
229,11,0.218(s),Control_Trial(3-1),3 & 2,0,0,0,$11.65
230,11,0.877(s),Control_Trial(3-1),3 & 4,1,0,1,$11.75
231,11,0.445(s),Control_Trial(3-1),4 & 3,0,0,0,$11.5
232,11,0.965(s),Control_Same_Color_Trial(3-1),3 & 3,0,0,0.5,$11.25
233,11,0.62(s),Control_Trial(3-1),3 & 4,1,0,1,$11.35
234,11,0.953(s),Control_Test_Trial(3-1),3 & 2,-1,0,0,$11.1
235,11,0.98(s),Adpative_Test_Trial(8-1),8 & 9,1,0,1,$11.2
236,3,0.827(s),Control_Trial(3-2),3 & 4,1,0,1,$11.3
237,3,0.636(s),Control_Same_Color_Trial(3-2),4 & 4,0,0,0.5,$11.05
238,3,1.085(s),Control_Trial(3-2),3 & 2,1,0,1,$11.15
239,3,0.528(s),Control_Trial(3-2),4 & 5,1,0,1,$11.25
240,3,0.805(s),Control_Same_Color_Trial(3-2),4 & 4,0,0,0.5,$11
241,3,0.745(s),Control_Trial(3-2),4 & 5,1,0,1,$11.1
242,3,0.603(s),Control_Trial(3-2),5 & 4,1,0,1,$11.2
243,3,0.693(s),Control_Trial(3-2),3 & 4,1,0,1,$11.3
244,3,0.607(s),Control_Trial(3-2),4 & 3,1,0,1,$11.4
245,3,0.96(s),Control_Trial(3-2),2 & 1,1,0,1,$11.5
246,3,0.988(s),Control_Trial(3-2),2 & 1,1,0,1,$11.6
247,3,0.616(s),Control_Trial(3-2),4 & 5,1,0,1,$11.7
248,3,1.478(s),Control_Trial(3-2),4 & 3,1,0,1,$11.8
249,3,0.919(s),Control_Trial(3-2),2 & 1,1,0,1,$11.9
250,3,0.771(s),Control_Trial(3-2),5 & 4,1,0,1,$12
251,3,0.691(s),Control_Trial(3-2),3 & 2,1,0,1,$12.1
252,3,0.683(s),Control_Trial(3-2),4 & 3,1,0,1,$12.2
253,3,0.845(s),Control_Trial(3-2),2 & 1,1,0,1,$12.3
254,3,1.205(s),Control_Trial(3-2),2 & 1,1,0,1,$12.4
255,3,0.771(s),Control_Trial(3-2),3 & 2,0,0,0,$12.15
256,3,0.484(s),Control_Same_Color_Trial(3-2),5 & 5,0,0,0.5,$11.9
257,3,1.086(s),Control_Trial(3-2),2 & 1,1,0,1,$12
258,3,0.67(s),Control_Trial(3-2),4 & 5,1,0,1,$12.1
259,3,0.893(s),Control_Trial(3-2),2 & 1,1,0,1,$12.2
260,3,0.899(s),Control_Trial(3-2),4 & 5,1,0,1,$12.3
261,3,0.924(s),Control_Trial(3-2),2 & 1,1,0,1,$12.4
262,3,1.366(s),Control_Same_Color_Trial(3-2),1 & 1,1,0,1,$12.5
263,3,0.998(s),Control_Same_Color_Trial(3-2),5 & 5,0,0,0.5,$12.25
264,3,0.659(s),Control_Trial(3-2),3 & 2,1,0,1,$12.35
265,3,0.631(s),Control_Trial(3-2),4 & 3,1,0,1,$12.45
266,3,1.135(s),Control_Trial(3-2),3 & 2,1,0,1,$12.55
267,3,0.627(s),Control_Trial(3-2),4 & 5,1,0,1,$12.65
268,3,0.694(s),Control_Trial(3-2),4 & 5,1,0,1,$12.75
269,3,0.84(s),Control_Trial(3-2),1 & 2,1,0,1,$12.85
270,3,0.476(s),Control_Trial(3-2),3 & 2,1,0,1,$12.95
271,3,0.5(s),Control_Trial(3-2),4 & 3,0,0,0,$12.7
272,3,0.659(s),Control_Trial(3-2),3 & 2,1,0,1,$12.8
273,3,0.54(s),Control_Trial(3-2),4 & 3,0,0,0,$12.55
274,3,0.532(s),Control_Trial(3-2),5 & 4,1,0,1,$12.65
275,3,1.067(s),Control_Trial(3-2),2 & 3,1,0,1,$12.75
276,3,0.493(s),Control_Trial(3-2),5 & 4,1,0,1,$12.85
277,3,0.764(s),Control_Trial(3-2),2 & 3,1,0,1,$12.95
278,3,0.624(s),Control_Trial(3-2),4 & 5,0,0,0,$12.7
279,3,0.933(s),Control_Trial(3-2),2 & 1,1,0,1,$12.8
280,3,0.676(s),Control_Trial(3-2),4 & 5,1,0,1,$12.9
281,3,0.803(s),Control_Test_Trial(3-2),1 & 2,1,0,1,$13
282,3,0.731(s),Adpative_Test_Trial(7-1),7 & 6,1,0,1,$13.1
283,5,0.701(s),Control_Trial(3-1),2 & 3,1,0,1,$13.2
284,5,0.844(s),Control_Trial(3-1),2 & 3,1,0,1,$13.3
