Trial#,Sequence#,Response Time,Trial Type(mean-std),Shade,Resp,Missed,Reply,Accumulated Amount
1,0,0.801(s),Adpative_Trial(3-1),4 & 3,1,0,1,$0.1
2,0,0.781(s),Control_Test_Trial(3-1),3 & 3,0,0,0.5,$-0.15
3,0,1.417(s),Adpative_Test_Trial(10-2),10 & 11,1,0,1,$-0.05
4,0,0.783(s),Control_Same_Color_Trial(10-2),8 & 8,0,0,0.5,$-0.3
5,0,1.083(s),Control_Test_Trial(10-2),10 & 11,1,0,1,$-0.2
6,0,0.994(s),Adpative_Test_Trial(3-1),3 & 3,0,0,0.5,$-0.45
7,1,0.851(s),Adpative_Trial(4-1),4 & 5,1,0,1,$-0.35
8,1,0.961(s),Control_Test_Trial(4-1),3 & 3,0,0,0.5,$-0.6
9,1,0.903(s),Adpative_Test_Trial(10-2),11 & 11,0,0,0.5,$-0.85
10,1,0.709(s),Control_Trial(10-2),11 & 10,1,0,1,$-0.75
11,1,1.116(s),Control_Test_Trial(10-2),11 & 11,0,0,0.5,$-1
12,1,2.001(s),Adpative_Test_Trial(4-1),3 & 3,0,1,-1,$-2
13,2,0.612(s),Adpative_Same_Color_Trial(5-1),4 & 4,0,0,0.5,$-2.25
14,2,1.298(s),Control_Test_Trial(5-1),6 & 6,0,0,0.5,$-2.5
15,2,0.841(s),Adpative_Test_Trial(10-1),11 & 10,1,0,1,$-2.4
16,2,0.878(s),Control_Trial(10-1),10 & 9,1,0,1,$-2.3
17,2,0.862(s),Control_Test_Trial(10-1),11 & 10,1,0,1,$-2.2
18,2,0.955(s),Adpative_Test_Trial(5-1),6 & 6,0,0,0.5,$-2.45
19,3,0.771(s),Adpative_Trial(6-1),6 & 5,1,0,1,$-2.35
20,3,1.184(s),Control_Test_Trial(6-1),7 & 6,1,0,1,$-2.25
21,3,1.016(s),Adpative_Test_Trial(3-2),2 & 1,1,0,1,$-2.15
22,3,0.707(s),Control_Trial(3-2),1 & 2,1,0,1,$-2.05
23,3,0.635(s),Control_Test_Trial(3-2),2 & 1,1,0,1,$-1.95
24,3,0.873(s),Adpative_Test_Trial(6-1),7 & 6,1,0,1,$-1.85
25,4,0.603(s),Adpative_Trial(7-1),7 & 8,1,0,1,$-1.75
26,4,0.723(s),Control_Test_Trial(7-1),7 & 8,1,0,1,$-1.65
27,4,1.09(s),Adpative_Test_Trial(4-2),2 & 3,1,0,1,$-1.55
28,4,0.707(s),Control_Trial(4-2),4 & 5,1,0,1,$-1.45
29,4,0.987(s),Control_Test_Trial(4-2),2 & 3,1,0,1,$-1.35
30,4,1.148(s),Adpative_Test_Trial(7-1),7 & 8,1,0,1,$-1.25
31,5,0.607(s),Adpative_Trial(8-1),7 & 8,1,0,1,$-1.15
32,5,0.948(s),Control_Test_Trial(8-1),8 & 9,1,0,1,$-1.05
33,5,1.516(s),Adpative_Test_Trial(3-1),3 & 3,0,0,0.5,$-1.3
34,5,0.582(s),Control_Trial(3-1),3 & 2,1,0,1,$-1.2
35,5,2.002(s),Control_Test_Trial(3-1),3 & 3,0,1,-1,$-2.2
36,5,0.653(s),Adpative_Test_Trial(8-1),8 & 9,1,0,1,$-2.1
37,6,0.576(s),Adpative_Trial(9-1),10 & 9,1,0,1,$-2
38,6,1.53(s),Control_Test_Trial(9-1),9 & 9,1,0,1,$-1.9
39,6,1.149(s),Adpative_Test_Trial(3-1),3 & 4,1,0,1,$-1.8
40,6,1.307(s),Control_Trial(3-1),3 & 2,1,0,1,$-1.7
41,6,1.076(s),Control_Test_Trial(3-1),3 & 4,1,0,1,$-1.6
42,6,1.509(s),Adpative_Test_Trial(9-1),9 & 9,1,0,1,$-1.5
43,7,0.792(s),Adpative_Trial(10-1),9 & 10,1,0,1,$-1.4
44,7,0.794(s),Control_Test_Trial(10-1),11 & 10,1,0,1,$-1.3
45,7,0.854(s),Adpative_Test_Trial(4-2),3 & 4,1,0,1,$-1.2
46,7,0.68(s),Control_Trial(4-2),3 & 4,1,0,1,$-1.1
47,7,0.628(s),Control_Test_Trial(4-2),3 & 4,1,0,1,$-1
48,7,0.85(s),Adpative_Test_Trial(10-1),11 & 10,1,0,1,$-0.9
49,8,1.301(s),Adpative_Trial(3-1),3 & 4,1,0,1,$-0.8
50,8,0.708(s),Control_Test_Trial(3-1),3 & 2,1,0,1,$-0.7
51,8,1.173(s),Adpative_Test_Trial(8-2),9 & 10,1,0,1,$-0.6
52,8,0.721(s),Control_Trial(8-2),9 & 10,1,0,1,$-0.5
53,8,0.903(s),Control_Test_Trial(8-2),9 & 10,1,0,1,$-0.4
54,8,1.156(s),Adpative_Test_Trial(3-1),3 & 2,1,0,1,$-0.3
55,9,0.631(s),Adpative_Trial(4-1),4 & 3,1,0,1,$-0.2
56,9,0.603(s),Control_Test_Trial(4-1),4 & 3,1,0,1,$-0.099999999999998
57,9,0.848(s),Adpative_Test_Trial(9-2),11 & 11,0,0,0.5,$-0.35
58,9,0.616(s),Control_Trial(9-2),11 & 10,1,0,1,$-0.25
59,9,1.209(s),Control_Test_Trial(9-2),11 & 11,0,0,0.5,$-0.5
60,9,1.023(s),Adpative_Test_Trial(4-1),4 & 3,1,0,1,$-0.4
61,10,0.773(s),Adpative_Trial(5-1),4 & 5,1,0,1,$-0.3
62,10,0.573(s),Control_Test_Trial(5-1),5 & 4,1,0,1,$-0.2
63,10,0.926(s),Adpative_Test_Trial(10-1),11 & 11,0,0,0.5,$-0.45
64,10,0.923(s),Control_Trial(10-1),10 & 11,1,0,1,$-0.35
65,10,0.648(s),Control_Test_Trial(10-1),11 & 11,0,0,0.5,$-0.6
66,10,0.887(s),Adpative_Test_Trial(5-1),5 & 4,1,0,1,$-0.5
67,11,0.844(s),Adpative_Trial(6-1),6 & 5,1,0,1,$-0.4
68,11,0.658(s),Control_Test_Trial(6-1),6 & 7,1,0,1,$-0.3
69,11,1.49(s),Adpative_Test_Trial(3-2),1 & 2,1,0,1,$-0.2
70,11,0.606(s),Control_Trial(3-2),2 & 1,1,0,1,$-0.099999999999998
71,11,0.589(s),Control_Test_Trial(3-2),1 & 2,1,0,1,$2.3037127760972E-15
72,11,0.676(s),Adpative_Test_Trial(6-1),6 & 7,1,0,1,$0.1
73,12,1.212(s),Adpative_Trial(7-1),8 & 7,1,0,1,$0.2
74,12,1.58(s),Control_Test_Trial(7-1),7 & 6,1,0,1,$0.3
75,12,0.813(s),Adpative_Test_Trial(3-2),1 & 2,1,0,1,$0.4
76,12,0.78(s),Control_Trial(3-2),4 & 5,1,0,1,$0.5
77,12,1.169(s),Control_Test_Trial(3-2),1 & 2,1,0,1,$0.6
78,12,0.792(s),Adpative_Test_Trial(7-1),7 & 6,1,0,1,$0.7
79,13,1.513(s),Adpative_Trial(8-1),8 & 7,1,0,1,$0.8
80,13,0.722(s),Control_Test_Trial(8-1),8 & 9,1,0,1,$0.9
81,13,1.103(s),Adpative_Test_Trial(3-2),2 & 3,1,0,1,$1
82,13,1.305(s),Control_Trial(3-2),2 & 1,1,0,1,$1.1
83,13,0.852(s),Control_Test_Trial(3-2),2 & 3,1,0,1,$1.2
84,13,0.914(s),Adpative_Test_Trial(8-1),8 & 9,1,0,1,$1.3
85,14,0.658(s),Adpative_Trial(9-1),9 & 8,1,0,1,$1.4
86,14,2.001(s),Control_Test_Trial(9-1),9 & 9,0,1,-1,$0.4
87,14,1.086(s),Adpative_Test_Trial(4-2),3 & 2,1,0,1,$0.5
88,14,1.394(s),Control_Same_Color_Trial(4-2),2 & 2,1,0,1,$0.6
89,14,0.642(s),Control_Test_Trial(4-2),3 & 2,1,0,1,$0.7
90,14,1.168(s),Adpative_Test_Trial(9-1),9 & 9,1,0,1,$0.8
91,15,0.762(s),Adpative_Trial(10-1),11 & 10,1,0,1,$0.9
92,15,0.604(s),Control_Test_Trial(10-1),10 & 9,1,0,1,$1
93,15,0.956(s),Adpative_Test_Trial(6-2),5 & 4,1,0,1,$1.1
94,15,0.804(s),Control_Trial(6-2),7 & 8,1,0,1,$1.2
95,15,0.771(s),Control_Test_Trial(6-2),5 & 4,1,0,1,$1.3
96,15,0.705(s),Adpative_Test_Trial(10-1),10 & 9,1,0,1,$1.4
