Trial#,Sequence#,Response Time,Trial Type(mean-std),Shade,Resp,Missed,Reply,Accumulated Amount
1,0,1.01(s),Adpative_Trial(3-2),2 & 3,1,0,1,$0.1
2,0,1.203(s),Control_Test_Trial(3-2),3 & 4,1,0,1,$0.2
3,0,1.083(s),Adpative_Test_Trial(9-2),11 & 10,1,0,1,$0.3
4,0,0.817(s),Control_Trial(9-2),8 & 9,1,0,1,$0.4
5,0,1.458(s),Control_Test_Trial(9-2),11 & 10,1,0,1,$0.5
6,0,1.334(s),Adpative_Test_Trial(3-2),3 & 4,1,0,1,$0.6
7,1,1.178(s),Adpative_Trial(4-1),3 & 4,1,0,1,$0.7
8,1,1.018(s),Control_Test_Trial(4-1),5 & 4,1,0,1,$0.8
9,1,1.08(s),Adpative_Test_Trial(10-2),10 & 11,1,0,1,$0.9
10,1,0.962(s),Control_Trial(10-2),10 & 11,1,0,1,$1
11,1,1.427(s),Control_Test_Trial(10-2),10 & 11,1,0,1,$1.1
12,1,1.066(s),Adpative_Test_Trial(4-1),5 & 4,1,0,1,$1.2
13,2,1.002(s),Adpative_Trial(5-1),5 & 6,1,0,1,$1.3
14,2,0.989(s),Control_Test_Trial(5-1),5 & 6,1,0,1,$1.4
15,2,1.074(s),Adpative_Test_Trial(10-2),11 & 12,1,0,1,$1.5
16,2,1.025(s),Control_Trial(10-2),8 & 9,1,0,1,$1.6
17,2,1.276(s),Control_Test_Trial(10-2),11 & 12,1,0,1,$1.7
18,2,1.134(s),Adpative_Test_Trial(5-1),5 & 6,1,0,1,$1.8
19,3,1.187(s),Adpative_Trial(6-1),6 & 7,1,0,1,$1.9
20,3,0.993(s),Control_Test_Trial(6-1),6 & 5,1,0,1,$2
21,3,1.329(s),Adpative_Test_Trial(10-2),12 & 12,0,0,0.5,$1.75
22,3,1.274(s),Control_Trial(10-2),10 & 11,1,0,1,$1.85
23,3,1.282(s),Control_Test_Trial(10-2),12 & 12,0,0,0.5,$1.6
24,3,1.157(s),Adpative_Test_Trial(6-1),6 & 5,1,0,1,$1.7
25,4,1.829(s),Adpative_Same_Color_Trial(7-1),7 & 7,1,0,1,$1.8
26,4,1.131(s),Control_Test_Trial(7-1),7 & 8,1,0,1,$1.9
27,4,1.442(s),Adpative_Test_Trial(3-2),2 & 2,0,0,0.5,$1.65
28,4,1.32(s),Control_Trial(3-2),2 & 3,1,0,1,$1.75
29,4,1.402(s),Control_Test_Trial(3-2),2 & 2,0,0,0.5,$1.5
30,4,1.257(s),Adpative_Test_Trial(7-1),7 & 8,1,0,1,$1.6
31,5,1.231(s),Adpative_Trial(8-1),9 & 8,1,0,1,$1.7
32,5,1.089(s),Control_Test_Trial(8-1),7 & 8,1,0,1,$1.8
33,5,1.232(s),Adpative_Test_Trial(3-2),3 & 2,1,0,1,$1.9
34,5,1.203(s),Control_Trial(3-2),4 & 5,1,0,1,$2
35,5,1.258(s),Control_Test_Trial(3-2),3 & 2,1,0,1,$2.1
36,5,1.172(s),Adpative_Test_Trial(8-1),7 & 8,1,0,1,$2.2
37,6,1.641(s),Adpative_Trial(9-1),8 & 9,1,0,1,$2.3
38,6,1.379(s),Control_Test_Trial(9-1),9 & 10,1,0,1,$2.4
39,6,1.384(s),Adpative_Test_Trial(3-1),4 & 3,1,0,1,$2.5
40,6,1.465(s),Control_Trial(3-1),4 & 3,1,0,1,$2.6
41,6,1.607(s),Control_Test_Trial(3-1),4 & 3,1,0,1,$2.7
42,6,1.184(s),Adpative_Test_Trial(9-1),9 & 10,1,0,1,$2.8
43,7,1.19(s),Adpative_Trial(10-2),11 & 10,1,0,1,$2.9
44,7,1.737(s),Control_Test_Trial(10-2),9 & 9,0,0,0.5,$2.65
45,7,1.429(s),Adpative_Test_Trial(4-2),3 & 2,1,0,1,$2.75
46,7,1.173(s),Control_Trial(4-2),3 & 4,1,0,1,$2.85
47,7,1.264(s),Control_Test_Trial(4-2),3 & 2,1,0,1,$2.95
48,7,1.563(s),Adpative_Test_Trial(10-2),9 & 9,0,0,0.5,$2.7
49,8,1.417(s),Adpative_Trial(3-1),3 & 2,1,0,1,$2.8
50,8,1.454(s),Control_Test_Trial(3-1),4 & 4,0,0,0.5,$2.55
51,8,1.402(s),Adpative_Test_Trial(9-2),11 & 10,1,0,1,$2.65
52,8,1.56(s),Control_Trial(9-2),10 & 9,1,0,1,$2.75
53,8,1.329(s),Control_Test_Trial(9-2),11 & 10,1,0,1,$2.85
