Trial#,Sequence#,Response Time,Trial Type(mean-std),Shade,Resp,Missed,Reply,Accumulated Amount
1,0,1.121(s),Adpative_Trial(3-2),4 & 5,1,0,1,$0.1
2,0,1.265(s),Control_Test_Trial(3-2),5 & 4,1,0,1,$0.2
3,0,1.509(s),Adpative_Test_Trial(10-1),11 & 11,1,0,1,$0.3
4,0,1.316(s),Control_Trial(10-1),11 & 10,1,0,1,$0.4
5,0,1.836(s),Control_Test_Trial(10-1),11 & 11,0,0,0.5,$0.15
6,0,0.852(s),Adpative_Test_Trial(3-2),5 & 4,1,0,1,$0.25
7,1,1.084(s),Adpative_Trial(4-1),5 & 4,1,0,1,$0.35
8,1,1.992(s),Control_Test_Trial(4-1),4 & 4,0,0,0.5,$0.1
9,1,1.377(s),Adpative_Test_Trial(10-1),11 & 11,0,0,0.5,$-0.15
10,1,0.891(s),Control_Trial(10-1),10 & 9,1,0,1,$-0.05
11,1,1.05(s),Control_Test_Trial(10-1),11 & 11,0,0,0.5,$-0.3
12,1,1.739(s),Adpative_Test_Trial(4-1),4 & 4,0,0,0.5,$-0.55
13,2,1.254(s),Adpative_Trial(5-1),5 & 4,1,0,1,$-0.45
14,2,1.251(s),Control_Test_Trial(5-1),5 & 4,1,0,1,$-0.35
15,2,1.949(s),Adpative_Test_Trial(10-1),11 & 10,1,0,1,$-0.25
16,2,1.18(s),Control_Trial(10-1),9 & 10,1,0,1,$-0.15
17,2,1.412(s),Control_Test_Trial(10-1),11 & 10,1,0,1,$-0.05
18,2,2.002(s),Adpative_Test_Trial(5-1),5 & 4,0,1,-1,$-1.05
19,3,1.133(s),Adpative_Trial(6-1),5 & 6,1,0,1,$-0.95
20,3,0.969(s),Control_Test_Trial(6-1),7 & 6,1,0,1,$-0.85
21,3,1.379(s),Adpative_Test_Trial(3-2),1 & 1,1,0,1,$-0.75
22,3,0.894(s),Control_Trial(3-2),2 & 1,1,0,1,$-0.65
23,3,1.068(s),Control_Test_Trial(3-2),1 & 1,0,0,0.5,$-0.9
24,3,1.744(s),Adpative_Test_Trial(6-1),7 & 6,1,0,1,$-0.8
25,4,1.363(s),Adpative_Trial(7-1),6 & 7,1,0,1,$-0.7
26,4,1.155(s),Control_Test_Trial(7-1),8 & 8,0,0,0.5,$-0.95
27,4,1.428(s),Adpative_Test_Trial(3-2),2 & 2,0,0,0.5,$-1.2
28,4,1.255(s),Control_Trial(3-2),3 & 4,1,0,1,$-1.1
29,4,1.398(s),Control_Test_Trial(3-2),2 & 2,0,0,0.5,$-1.35
30,4,1.045(s),Adpative_Test_Trial(7-1),8 & 8,0,0,0.5,$-1.6
31,5,1.055(s),Adpative_Trial(8-1),8 & 7,1,0,1,$-1.5
32,5,0.979(s),Control_Test_Trial(8-1),8 & 9,1,0,1,$-1.4
33,5,1.618(s),Adpative_Test_Trial(3-1),2 & 3,1,0,1,$-1.3
34,5,1.028(s),Control_Trial(3-1),3 & 2,1,0,1,$-1.2
35,5,1.176(s),Control_Test_Trial(3-1),2 & 3,1,0,1,$-1.1
36,5,1.021(s),Adpative_Test_Trial(8-1),8 & 9,1,0,1,$-1
37,6,0.954(s),Adpative_Trial(9-1),10 & 9,1,0,1,$-0.9
38,6,1.478(s),Control_Test_Trial(9-1),9 & 9,0,0,0.5,$-1.15
39,6,1.25(s),Adpative_Test_Trial(4-1),4 & 3,1,0,1,$-1.05
40,6,2.002(s),Control_Same_Color_Trial(4-1),5 & 5,0,1,-1,$-2.05
41,6,1.688(s),Control_Test_Trial(4-1),4 & 3,1,0,1,$-1.95
42,6,2.002(s),Adpative_Test_Trial(9-1),9 & 9,0,1,-1,$-2.95
43,7,1.238(s),Adpative_Trial(10-2),11 & 10,1,0,1,$-2.85
44,7,1.867(s),Control_Test_Trial(10-2),11 & 10,1,0,1,$-2.75
45,7,1.531(s),Adpative_Test_Trial(3-2),4 & 3,1,0,1,$-2.65
46,7,1.633(s),Control_Trial(3-2),2 & 3,1,0,1,$-2.55
47,7,1.075(s),Control_Test_Trial(3-2),4 & 3,1,0,1,$-2.45
48,7,1.066(s),Adpative_Test_Trial(10-2),11 & 10,1,0,1,$-2.35
49,8,1.174(s),Adpative_Trial(3-2),1 & 2,1,0,1,$-2.25
50,8,1.761(s),Control_Test_Trial(3-2),2 & 3,1,0,1,$-2.15
51,8,1.412(s),Adpative_Test_Trial(10-2),11 & 10,1,0,1,$-2.05
52,8,1.651(s),Control_Trial(10-2),9 & 8,1,0,1,$-1.95
53,8,1.732(s),Control_Test_Trial(10-2),11 & 10,1,0,1,$-1.85
54,8,1.102(s),Adpative_Test_Trial(3-2),2 & 3,1,0,1,$-1.75
55,9,1.173(s),Adpative_Trial(4-1),4 & 3,1,0,1,$-1.65
56,9,1.227(s),Control_Test_Trial(4-1),3 & 4,1,0,1,$-1.55
57,9,1.403(s),Adpative_Test_Trial(9-2),11 & 10,1,0,1,$-1.45
58,9,1.093(s),Control_Trial(9-2),10 & 9,1,0,1,$-1.35
59,9,1.524(s),Control_Test_Trial(9-2),11 & 10,1,0,1,$-1.25
60,9,1.714(s),Adpative_Test_Trial(4-1),3 & 4,1,0,1,$-1.15
61,10,1.154(s),Adpative_Trial(5-1),4 & 5,1,0,1,$-1.05
62,10,1.57(s),Control_Test_Trial(5-1),4 & 4,0,0,0.5,$-1.3
63,10,1.901(s),Adpative_Test_Trial(10-2),12 & 11,1,0,1,$-1.2
64,10,1.284(s),Control_Trial(10-2),11 & 10,1,0,1,$-1.1
65,10,1.426(s),Control_Test_Trial(10-2),12 & 11,0,0,0,$-1.35
66,10,1.359(s),Adpative_Test_Trial(5-1),4 & 4,0,0,0.5,$-1.6
67,11,1.483(s),Adpative_Same_Color_Trial(6-1),7 & 7,0,0,0.5,$-1.85
68,11,1.394(s),Control_Test_Trial(6-1),6 & 7,1,0,1,$-1.75
69,11,1.035(s),Adpative_Test_Trial(3-2),1 & 2,1,0,1,$-1.65
70,11,2.002(s),Control_Same_Color_Trial(3-2),5 & 5,0,1,-1,$-2.65
71,11,0.969(s),Control_Test_Trial(3-2),1 & 2,1,0,1,$-2.55
72,11,1.11(s),Adpative_Test_Trial(6-1),6 & 7,1,0,1,$-2.45
73,12,0.884(s),Adpative_Trial(7-1),7 & 8,1,0,1,$-2.35
74,12,1.034(s),Control_Test_Trial(7-1),7 & 8,1,0,1,$-2.25
75,12,1.559(s),Adpative_Test_Trial(3-2),2 & 2,0,0,0.5,$-2.5
76,12,1.366(s),Control_Same_Color_Trial(3-2),1 & 1,0,0,0.5,$-2.75
77,12,0.758(s),Control_Test_Trial(3-2),2 & 2,0,0,0.5,$-3
78,12,0.886(s),Adpative_Test_Trial(7-1),7 & 8,1,0,1,$-2.9
79,13,0.695(s),Adpative_Trial(8-1),8 & 9,1,0,1,$-2.8
80,13,0.646(s),Control_Test_Trial(8-1),8 & 9,1,0,1,$-2.7
81,13,0.731(s),Adpative_Test_Trial(3-1),2 & 3,1,0,1,$-2.6
82,13,0.678(s),Control_Trial(3-1),3 & 4,1,0,1,$-2.5
83,13,0.936(s),Control_Test_Trial(3-1),2 & 3,1,0,1,$-2.4
84,13,2.002(s),Adpative_Test_Trial(8-1),8 & 9,0,1,-1,$-3.4
85,14,1.199(s),Adpative_Trial(9-1),9 & 10,1,0,1,$-3.3
86,14,0.807(s),Control_Test_Trial(9-1),10 & 9,1,0,1,$-3.2
87,14,1.456(s),Adpative_Test_Trial(4-1),4 & 3,1,0,1,$-3.1
88,14,1.393(s),Control_Same_Color_Trial(4-1),4 & 4,0,0,0.5,$-3.35
89,14,1.09(s),Control_Test_Trial(4-1),4 & 3,1,0,1,$-3.25
90,14,0.901(s),Adpative_Test_Trial(9-1),10 & 9,1,0,1,$-3.15
91,15,1.631(s),Adpative_Trial(10-1),11 & 10,1,0,1,$-3.05
92,15,0.989(s),Control_Test_Trial(10-1),11 & 10,1,0,1,$-2.95
93,15,1.291(s),Adpative_Test_Trial(5-2),5 & 4,1,0,1,$-2.85
94,15,0.937(s),Control_Trial(5-2),4 & 3,1,0,1,$-2.75
95,15,1.171(s),Control_Test_Trial(5-2),5 & 4,1,0,1,$-2.65
96,15,1.246(s),Adpative_Test_Trial(10-1),11 & 10,1,0,1,$-2.55
97,16,1.18(s),Adpative_Trial(3-1),3 & 2,1,0,1,$-2.45
98,16,1.202(s),Control_Test_Trial(3-1),3 & 3,0,0,0.5,$-2.7
99,16,1.042(s),Adpative_Test_Trial(10-2),12 & 12,0,0,0.5,$-2.95
100,16,1.184(s),Control_Trial(10-2),10 & 11,1,0,1,$-2.85
101,16,2.003(s),Control_Test_Trial(10-2),12 & 12,0,1,-1,$-3.85
102,16,1.071(s),Adpative_Test_Trial(3-1),3 & 3,0,0,0.5,$-4.1
103,17,1.04(s),Adpative_Trial(4-1),3 & 4,1,0,1,$-4
104,17,1.337(s),Control_Test_Trial(4-1),4 & 5,1,0,1,$-3.9
105,17,1.233(s),Adpative_Test_Trial(10-1),10 & 11,1,0,1,$-3.8
106,17,0.948(s),Control_Trial(10-1),9 & 10,1,0,1,$-3.7
107,17,1.29(s),Control_Test_Trial(10-1),10 & 11,1,0,1,$-3.6
108,17,1.271(s),Adpative_Test_Trial(4-1),4 & 5,1,0,1,$-3.5
109,18,0.923(s),Adpative_Trial(5-1),5 & 4,1,0,1,$-3.4
110,18,1.189(s),Control_Test_Trial(5-1),5 & 5,0,0,0.5,$-3.65
111,18,1.659(s),Adpative_Test_Trial(10-2),11 & 12,1,0,1,$-3.55
112,18,1.644(s),Control_Same_Color_Trial(10-2),8 & 8,1,0,1,$-3.45
113,18,1.331(s),Control_Test_Trial(10-2),11 & 12,1,0,1,$-3.35
114,18,1.848(s),Adpative_Test_Trial(5-1),5 & 5,0,0,0.5,$-3.6
115,19,1.024(s),Adpative_Trial(6-1),6 & 5,1,0,1,$-3.5
116,19,1.516(s),Control_Test_Trial(6-1),6 & 5,1,0,1,$-3.4
117,19,1.127(s),Adpative_Test_Trial(3-2),2 & 1,1,0,1,$-3.3
118,19,0.972(s),Control_Same_Color_Trial(3-2),5 & 5,0,0,0.5,$-3.55
119,19,0.979(s),Control_Test_Trial(3-2),2 & 1,1,0,1,$-3.45
120,19,1.187(s),Adpative_Test_Trial(6-1),6 & 5,1,0,1,$-3.35
121,20,1.426(s),Adpative_Trial(7-1),7 & 6,1,0,1,$-3.25
122,20,0.972(s),Control_Test_Trial(7-1),7 & 8,1,0,1,$-3.15
123,20,1.314(s),Adpative_Test_Trial(3-2),1 & 2,1,0,1,$-3.05
124,20,1.028(s),Control_Trial(3-2),1 & 2,1,0,1,$-2.95
125,20,1.046(s),Control_Test_Trial(3-2),1 & 2,1,0,1,$-2.85
126,20,1.244(s),Adpative_Test_Trial(7-1),7 & 8,1,0,1,$-2.75
127,21,0.926(s),Adpative_Trial(8-1),8 & 9,1,0,1,$-2.65
128,21,2.001(s),Control_Test_Trial(8-1),8 & 8,0,1,-1,$-3.65
129,21,0.831(s),Adpative_Test_Trial(3-2),2 & 3,1,0,1,$-3.55
130,21,0.785(s),Control_Trial(3-2),2 & 1,1,0,1,$-3.45
131,21,0.942(s),Control_Test_Trial(3-2),2 & 3,1,0,1,$-3.35
132,21,1.932(s),Adpative_Test_Trial(8-1),8 & 8,1,0,1,$-3.25
133,22,0.762(s),Adpative_Trial(9-1),8 & 9,1,0,1,$-3.15
134,22,0.946(s),Control_Test_Trial(9-1),9 & 10,1,0,1,$-3.05
135,22,1.035(s),Adpative_Test_Trial(3-1),4 & 3,1,0,1,$-2.95
136,22,0.963(s),Control_Trial(3-1),3 & 2,1,0,1,$-2.85
137,22,1.575(s),Control_Test_Trial(3-1),4 & 3,1,0,1,$-2.75
138,22,1.299(s),Adpative_Test_Trial(9-1),9 & 10,1,0,1,$-2.65
139,23,1.241(s),Adpative_Trial(10-1),10 & 11,1,0,1,$-2.55
140,23,1.22(s),Control_Test_Trial(10-1),10 & 11,1,0,1,$-2.45
141,23,0.828(s),Adpative_Test_Trial(6-2),5 & 4,1,0,1,$-2.35
142,23,0.902(s),Control_Trial(6-2),6 & 7,1,0,1,$-2.25
143,23,0.913(s),Control_Test_Trial(6-2),5 & 4,1,0,1,$-2.15
144,23,1.619(s),Adpative_Test_Trial(10-1),10 & 11,1,0,1,$-2.05
145,24,1.352(s),Adpative_Trial(3-1),2 & 3,1,0,1,$-1.95
146,24,0.91(s),Control_Test_Trial(3-1),3 & 3,0,0,0.5,$-2.2
147,24,1.075(s),Adpative_Test_Trial(10-2),10 & 9,1,0,1,$-2.1
148,24,1.259(s),Control_Trial(10-2),11 & 10,1,0,1,$-2
149,24,1.101(s),Control_Test_Trial(10-2),10 & 9,1,0,1,$-1.9
150,24,1.707(s),Adpative_Test_Trial(3-1),3 & 3,0,0,0.5,$-2.15
151,25,0.996(s),Adpative_Trial(4-1),3 & 4,1,0,1,$-2.05
152,25,0.845(s),Control_Test_Trial(4-1),4 & 3,1,0,1,$-1.95
153,25,1.227(s),Adpative_Test_Trial(10-1),10 & 11,1,0,1,$-1.85
154,25,1.196(s),Control_Trial(10-1),10 & 9,1,0,1,$-1.75
155,25,1.153(s),Control_Test_Trial(10-1),10 & 11,1,0,1,$-1.65
156,25,0.889(s),Adpative_Test_Trial(4-1),4 & 3,1,0,1,$-1.55
157,26,0.86(s),Adpative_Trial(5-1),5 & 4,1,0,1,$-1.45
158,26,0.804(s),Control_Test_Trial(5-1),5 & 6,1,0,1,$-1.35
159,26,1.498(s),Adpative_Test_Trial(10-2),11 & 12,0,0,0,$-1.6
160,26,0.899(s),Control_Trial(10-2),11 & 10,1,0,1,$-1.5
161,26,0.923(s),Control_Test_Trial(10-2),11 & 12,1,0,1,$-1.4
