participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.payoff_plus_participation_fee,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.participation_fee,session.config.real_world_currency_per_point,tt.1.player.id_in_group,tt.1.player.treatment,tt.1.player.context,tt.1.player.random_decision,tt.1.player.random_input,tt.1.player.choice,tt.1.player.order,tt.1.player.severity,tt.1.player.reputation,tt.1.player.choice_1,tt.1.player.choice_2,tt.1.player.choice_3,tt.1.player.choice_4,tt.1.player.choice_5,tt.1.player.belief_1,tt.1.player.belief_2,tt.1.player.belief_3,tt.1.player.belief_4,tt.1.player.belief_5,tt.1.player.payoff,tt.1.group.id_in_subsession,tt.1.subsession.round_number,wordscra.1.player.id_in_group,wordscra.1.player.word1_1,wordscra.1.player.word1_2,wordscra.1.player.word1_3,wordscra.1.player.word1_4,wordscra.1.player.word1_5,wordscra.1.player.word2_1,wordscra.1.player.word2_2,wordscra.1.player.word2_3,wordscra.1.player.word3_1,wordscra.1.player.word3_2,wordscra.1.player.word3_3,wordscra.1.player.word3_4,wordscra.1.player.word3_5,wordscra.1.player.word3_6,wordscra.1.player.word4_1,wordscra.1.player.word4_2,wordscra.1.player.word4_3,wordscra.1.player.word4_4,wordscra.1.player.word4_5,wordscra.1.player.word5_1,wordscra.1.player.word5_2,wordscra.1.player.word5_3,wordscra.1.player.word5_4,wordscra.1.player.word5_5,wordscra.1.player.word6_1,wordscra.1.player.word6_2,wordscra.1.player.word6_3,wordscra.1.player.word6_4,wordscra.1.player.payoff,wordscra.1.group.id_in_subsession,wordscra.1.subsession.round_number,postexp.1.player.id_in_group,postexp.1.player.finlit_1,postexp.1.player.finlit_2,postexp.1.player.finlit_3,postexp.1.player.finlit_4,postexp.1.player.finlit_5,postexp.1.player.risk_aversion1,postexp.1.player.risk_aversion2,postexp.1.player.pref1_1,postexp.1.player.pref1_2,postexp.1.player.pref1_3,postexp.1.player.pref1_4,postexp.1.player.pref2_1,postexp.1.player.pref2_2,postexp.1.player.pref2_3,postexp.1.player.crt4,postexp.1.player.crt5,postexp.1.player.crt6,postexp.1.player.crt7,postexp.1.player.age,postexp.1.player.female,postexp.1.player.income,postexp.1.player.education,postexp.1.player.jobfunction,postexp.1.player.jobfunctiongp,postexp.1.player.investment,postexp.1.player.whichinvestment,postexp.1.player.finnews,postexp.1.player.comments,postexp.1.player.matrikelnr,postexp.1.player.rate,postexp.1.player.random_code,postexp.1.player.payoff,postexp.1.group.id_in_subsession,postexp.1.subsession.round_number
1,nnde9490,{{%PROLIFIC_PID%}},0,1,12,tt,Instructions,2020-01-07 14:22:36.197913+00:00,1,,,0,0,cfs9uxep,,,,,,0,0,1,1,sh_sev_fin,neutral,3,choice_3,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
2,6icql3at,5af0011b3c80f200013b0686,0,1,12,tt,Instructions,2020-01-07 14:23:59.110205+00:00,1,,,0,0,cfs9uxep,,,,,,0,0,1,2,su_ha_fin,financial,3,choice_3,,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
3,ve3z0qoi,5a286795b51f2c0001e5de77,0,12,12,postexp,Results,2020-01-07 14:27:02.188101+00:00,1,,,5,5,cfs9uxep,,,,,,0,0,1,3,sh_sev_fin,abstract,2,choice_2,1,0,6,5,1,1,0,0,0,80,60,25,10,0,5,1,1,3,s,t,o,c,k,h,a,t,b,r,o,k,e,r,m,o,n,e,y,T,h,i,n,k,B,o,n,d,0,1,1,3,,,,,,6,,6,6,4,4,7,6,5,,,,,43,0,,4,2,,1,stocks,,,,5,8037C,0,1,1
4,zqb8pr9b,59fdef52747ede000142c959,0,12,12,postexp,Results,2020-01-07 14:27:39.123965+00:00,1,,,5,5,cfs9uxep,,,,,,0,0,1,4,sh_sev_fin,abstract,1,choice_1,1,1,3,5,1,1,0,0,1,100,75,50,25,0,5,1,1,4,E,E,o,c,k,E,a,t,E,E,o,k,e,r,E,o,n,e,y,T,h,E,n,E,B,E,n,d,0,1,1,4,,,,,,3,,3,5,3,4,3,5,3,,,,,46,0,,4,8,,0,,,,,,4032n,0,1,1
5,aaqkxegr,5ace0cc387e271000171cd21,0,12,12,postexp,Results,2020-01-07 14:28:10.835039+00:00,1,,,3,3,cfs9uxep,,,,,,0,0,1,5,sh_sev_fin,abstract,3,choice_3,0,0,7,1,0,0,0,0,0,5,10,10,10,0,3,1,1,5,B,L,o,c,k,B,a,t,B,O,o,k,e,r,H,o,n,e,y,T,h,A,n,K,B,O,n,d,0,1,1,5,,,,,,5,,7,1,1,7,7,2,4,,,,,37,0,,3,2,,1,,,,,5,7235h,0,1,1
6,h9uey5t0,5bb278608f3bd70001e55d18,0,12,12,postexp,Results,2020-01-07 14:28:47.701536+00:00,1,,,5,5,cfs9uxep,,,,,,0,0,1,6,sh_sev_fin,abstract,1,choice_1,1,1,5,5,1,1,0,0,0,100,99,95,90,0,5,1,1,6,C,L,o,c,k,B,a,t,C,O,o,k,e,r,H,o,n,e,y,T,h,A,n,K,B,A,n,d,0,1,1,6,,,,,,3,,5,4,5,6,7,2,6,,,,,25,1,,4,8,,0,,,,,5,3691X,0,1,1
7,jsvtrgt8,5ba8635f38803d000126ea43,0,12,12,postexp,Results,2020-01-07 14:29:12.680918+00:00,1,,,4,4,cfs9uxep,,,,,,0,0,1,7,sh_ha_fin,abstract,4,choice_4,0,1,5,5,1,1,0,0,0,75,60,40,25,0,4,1,1,7,C,r,o,c,k,B,a,t,B,R,o,k,e,r,M,o,n,e,y,T,h,I,n,G,B,I,n,d,0,1,1,7,,,,,,4,,6,2,2,5,7,1,6,,,,,31,0,,4,8,,1,,,I was a little confused by the random word game in the middle of the experiment to be honest,,5,7203e,0,1,1
8,lxu4jihq,596d1cdfe81bf30001fe0533,0,12,12,postexp,Results,2020-01-07 14:29:58.606853+00:00,1,,,3,3,cfs9uxep,,,,,,0,0,1,8,sh_sev_fin,abstract,3,choice_3,0,0,6,5,1,1,0,0,0,75,60,50,40,100,3,1,1,8,K,n,o,c,k,C,a,t,C,h,o,k,e,r,H,o,n,e,y,T,h,a,n,k,B,e,n,d,0,1,1,8,,,,,,5,,6,2,1,7,7,1,6,,,,,39,1,,4,2,,1,Unit Trusts & Shares,,,,4,5488m,0,1,1
9,g4pf89eu,597b92f0a33b0d0001fd3d90,0,12,12,postexp,Results,2020-01-07 14:30:14.471140+00:00,1,,,2,2,cfs9uxep,,,,,,0,0,1,9,su_ha_fin,abstract,2,choice_2,0,1,7,7,0,0,0,0,0,5,5,5,5,5,2,1,1,9,C,L,o,c,k,C,a,t,B,R,o,k,e,r,M,o,n,e,y,T,h,I,n,G,B,O,n,d,0,1,1,9,,,,,,1,,6,1,1,7,7,1,7,,,,,64,1,,0,8,,1,,,,,5,1613f,0,1,1
10,i1hns4sn,5bc0c9fa614d5a00016f713d,0,12,12,postexp,Results,2020-01-07 14:30:48.027907+00:00,1,,,2,2,cfs9uxep,,,,,,0,0,1,10,sh_ha_fin,abstract,2,choice_2,0,1,5,1,0,0,0,0,0,90,75,50,25,10,2,1,1,10,c,l,o,c,k,b,a,t,c,h,o,k,e,r,m,o,n,e,y,T,h,i,n,k,B,i,n,d,0,1,1,10,,,,,,5,,6,6,6,4,6,5,2,,,,,49,0,,4,8,,1,"stocks, p2p lending",,,,4,7821W,0,1,1
