session_id,participant__id_in_session,participant__code,page_index,app_name,page_name,epoch_time,seconds_on_page,subsession_pk,auto_submitted
1,10,pxfkr3wj,6,wordscra,Task,1579013556,59,1,False
1,10,pxfkr3wj,7,postexp,Risk,1579013564,8,1,False
1,10,pxfkr3wj,8,postexp,Pref1,1579013632,68,1,False
1,10,pxfkr3wj,9,postexp,Pref2,1579013663,31,1,False
1,10,pxfkr3wj,10,postexp,Demographics,1579013734,71,1,False
1,10,pxfkr3wj,11,postexp,ResultsTask,1579013743,9,1,False
1,12,u0m63z3l,1,tt,Instructions,1579015897,204,1,False
1,12,u0m63z3l,2,tt,Task,1579016064,167,1,False
1,12,u0m63z3l,3,tt,BeliefInstructions,1579016087,23,1,False
1,12,u0m63z3l,4,tt,Beliefs,1579016122,35,1,False
1,12,u0m63z3l,5,tt,Questions,1579016143,21,1,False
1,12,u0m63z3l,6,wordscra,Task,1579016370,227,1,False
1,12,u0m63z3l,7,postexp,Risk,1579016382,12,1,False
1,12,u0m63z3l,8,postexp,Pref1,1579016402,20,1,False
1,12,u0m63z3l,9,postexp,Pref2,1579016408,6,1,False
1,12,u0m63z3l,10,postexp,Demographics,1579016490,82,1,False
1,12,u0m63z3l,11,postexp,ResultsTask,1579016502,12,1,False
1,14,fo864b4v,1,tt,Instructions,1579016606,846,1,False
1,14,fo864b4v,2,tt,Task,1579016688,82,1,False
1,14,fo864b4v,3,tt,BeliefInstructions,1579016707,19,1,False
1,14,fo864b4v,4,tt,Beliefs,1579016797,90,1,False
1,14,fo864b4v,5,tt,Questions,1579016815,18,1,False
1,14,fo864b4v,6,wordscra,Task,1579016861,46,1,False
1,14,fo864b4v,7,postexp,Risk,1579016871,10,1,False
1,14,fo864b4v,8,postexp,Pref1,1579016940,69,1,False
1,14,fo864b4v,9,postexp,Pref2,1579016965,25,1,False
1,14,fo864b4v,10,postexp,Demographics,1579017002,37,1,False
1,14,fo864b4v,11,postexp,ResultsTask,1579017014,12,1,False
1,15,59xl6wlp,1,tt,Instructions,1579016496,43,1,False
1,15,59xl6wlp,2,tt,Task,1579016536,40,1,False
1,15,59xl6wlp,3,tt,BeliefInstructions,1579016548,12,1,False
1,15,59xl6wlp,4,tt,Beliefs,1579016561,13,1,False
1,15,59xl6wlp,5,tt,Questions,1579016573,12,1,False
1,15,59xl6wlp,6,wordscra,Task,1579016609,36,1,False
1,15,59xl6wlp,7,postexp,Risk,1579016614,5,1,False
1,15,59xl6wlp,8,postexp,Pref1,1579016637,23,1,False
1,15,59xl6wlp,9,postexp,Pref2,1579016651,14,1,False
1,15,59xl6wlp,10,postexp,Demographics,1579016682,31,1,False
1,15,59xl6wlp,11,postexp,ResultsTask,1579016689,7,1,False
1,16,nl8m3nf8,1,tt,Instructions,1579018813,126,1,False
1,16,nl8m3nf8,2,tt,Task,1579018849,36,1,False
1,16,nl8m3nf8,3,tt,BeliefInstructions,1579018862,13,1,False
1,16,nl8m3nf8,4,tt,Beliefs,1579018903,41,1,False
1,16,nl8m3nf8,5,tt,Questions,1579018923,20,1,False
1,16,nl8m3nf8,6,wordscra,Task,1579019001,78,1,False
1,16,nl8m3nf8,7,postexp,Risk,1579019010,9,1,False
1,16,nl8m3nf8,8,postexp,Pref1,1579019051,41,1,False
1,16,nl8m3nf8,9,postexp,Pref2,1579019075,24,1,False
1,16,nl8m3nf8,10,postexp,Demographics,1579019218,143,1,False
1,16,nl8m3nf8,11,postexp,ResultsTask,1579019225,7,1,False
1,18,1pynry5q,1,tt,Instructions,1579025472,53,1,False
1,18,1pynry5q,2,tt,Task,1579025490,18,1,False
1,18,1pynry5q,3,tt,BeliefInstructions,1579025500,10,1,False
1,18,1pynry5q,4,tt,Beliefs,1579025526,26,1,False
1,18,1pynry5q,5,tt,Questions,1579025541,15,1,False
1,18,1pynry5q,6,wordscra,Task,1579025572,31,1,False
1,18,1pynry5q,7,postexp,Risk,1579025581,9,1,False
1,18,1pynry5q,8,postexp,Pref1,1579025613,32,1,False
1,18,1pynry5q,9,postexp,Pref2,1579025632,19,1,False
1,18,1pynry5q,10,postexp,Demographics,1579025662,30,1,False
1,18,1pynry5q,11,postexp,ResultsTask,1579025670,8,1,False
1,19,tjud3kif,1,tt,Instructions,1579027317,178,1,False
1,19,tjud3kif,2,tt,Task,1579027345,28,1,False
1,19,tjud3kif,3,tt,BeliefInstructions,1579027359,14,1,False
1,19,tjud3kif,4,tt,Beliefs,1579027391,32,1,False
1,19,tjud3kif,5,tt,Questions,1579027412,21,1,False
1,19,tjud3kif,6,wordscra,Task,1579027490,78,1,False
1,19,tjud3kif,7,postexp,Risk,1579027504,14,1,False
1,19,tjud3kif,8,postexp,Pref1,1579027557,53,1,False
1,19,tjud3kif,9,postexp,Pref2,1579027577,20,1,False
1,19,tjud3kif,10,postexp,Demographics,1579027640,63,1,False
1,19,tjud3kif,11,postexp,ResultsTask,1579027646,6,1,False
1,20,tjlsu289,1,tt,Instructions,1579032043,102,1,False
1,20,tjlsu289,2,tt,Task,1579032078,35,1,False
1,20,tjlsu289,3,tt,BeliefInstructions,1579032094,16,1,False
1,20,tjlsu289,4,tt,Beliefs,1579032135,41,1,False
1,20,tjlsu289,5,tt,Questions,1579032189,54,1,False
1,20,tjlsu289,6,wordscra,Task,1579032271,82,1,False
1,20,tjlsu289,7,postexp,Risk,1579032284,13,1,False
1,20,tjlsu289,8,postexp,Pref1,1579032343,59,1,False
1,20,tjlsu289,9,postexp,Pref2,1579032373,30,1,False
1,20,tjlsu289,10,postexp,Demographics,1579032466,93,1,False
1,20,tjlsu289,11,postexp,ResultsTask,1579032504,38,1,False
1,21,24i1j93b,1,tt,Instructions,1579032410,87,1,False
1,21,24i1j93b,2,tt,Task,1579032447,37,1,False
1,21,24i1j93b,3,tt,BeliefInstructions,1579032458,11,1,False
1,21,24i1j93b,4,tt,Beliefs,1579032477,19,1,False
1,21,24i1j93b,5,tt,Questions,1579032493,16,1,False
1,21,24i1j93b,6,wordscra,Task,1579032556,63,1,False
1,21,24i1j93b,7,postexp,Risk,1579032563,7,1,False
1,21,24i1j93b,8,postexp,Pref1,1579032602,39,1,False
1,21,24i1j93b,9,postexp,Pref2,1579032618,16,1,False
1,21,24i1j93b,10,postexp,Demographics,1579032680,62,1,False
1,21,24i1j93b,11,postexp,ResultsTask,1579032693,13,1,False
1,23,5g4vjoy0,1,tt,Instructions,1579075137,240,1,False
1,23,5g4vjoy0,2,tt,Task,1579075180,43,1,False
1,23,5g4vjoy0,3,tt,BeliefInstructions,1579075197,17,1,False
1,23,5g4vjoy0,4,tt,Beliefs,1579075319,122,1,False
1,23,5g4vjoy0,5,tt,Questions,1579075411,92,1,False
1,23,5g4vjoy0,6,wordscra,Task,1579075765,354,1,False
