"participant","type","svo_angle","luck","merit","political_orientation","economic_ideology","social_ideology","pair","type_in_pair","coop","coop_rel","earn","earn_rel"
"R_phDrYC2Bcf9FUvT","HH",7.82,3,4,4,4,4,"HHLH","LH",10,40,NA,50.2941176470588
"R_phDrYC2Bcf9FUvT","HH",7.82,3,4,4,4,4,"HHLL","HH",35,46.6666666666667,NA,50.3125
"R_phDrYC2Bcf9FUvT","HH",7.82,3,4,4,4,4,"HHLL","LL",10,40,NA,50.3125
"R_phDrYC2Bcf9FUvT","HH",7.82,3,4,4,4,4,"HLHL","HL",25,33.3333333333333,NA,50.2564102564103
"R_phDrYC2Bcf9FUvT","HH",7.82,3,4,4,4,4,"HLLH","HL",25,33.3333333333333,NA,50.3571428571429
"R_phDrYC2Bcf9FUvT","HH",7.82,3,4,4,4,4,"HLLH","LH",10,40,NA,50.3571428571429
"R_phDrYC2Bcf9FUvT","HH",7.82,3,4,4,4,4,"HLLL","HL",30,40,NA,50.3846153846154
"R_phDrYC2Bcf9FUvT","HH",7.82,3,4,4,4,4,"HLLL","LL",10,40,NA,50.3846153846154
"R_phDrYC2Bcf9FUvT","HH",7.82,3,4,4,4,4,"LHLH","LH",15,60,NA,50.5882352941176
"R_phDrYC2Bcf9FUvT","HH",7.82,3,4,4,4,4,"LHLL","LH",15,60,NA,50.6666666666667
"R_phDrYC2Bcf9FUvT","HH",7.82,3,4,4,4,4,"LHLL","LL",10,40,NA,50.6666666666667
"R_phDrYC2Bcf9FUvT","HH",7.82,3,4,4,4,4,"LLLL","LL",10,40,NA,50.7692307692308
"R_25MhNjDR5Kcw99l","HH",-11.58,1,1,2,1,1,"HHHH","HH",20,26.6666666666667,NA,50.1960784313725
"R_25MhNjDR5Kcw99l","HH",-11.58,1,1,2,1,1,"HHHL","HH",20,26.6666666666667,NA,88.8888888888889
"R_25MhNjDR5Kcw99l","HH",-11.58,1,1,2,1,1,"HHHL","HL",30,40,NA,11.5555555555556
"R_25MhNjDR5Kcw99l","HH",-11.58,1,1,2,1,1,"HHLH","HH",30,40,NA,100.588235294118
"R_25MhNjDR5Kcw99l","HH",-11.58,1,1,2,1,1,"HHLH","LH",15,60,NA,0
"R_25MhNjDR5Kcw99l","HH",-11.58,1,1,2,1,1,"HHLL","HH",45,60,NA,62.5
"R_25MhNjDR5Kcw99l","HH",-11.58,1,1,2,1,1,"HHLL","LL",20,80,NA,38.125
"R_25MhNjDR5Kcw99l","HH",-11.58,1,1,2,1,1,"HLHL","HL",30,40,NA,51.2820512820513
"R_25MhNjDR5Kcw99l","HH",-11.58,1,1,2,1,1,"HLLH","HL",15,20,NA,64.2857142857143
"R_25MhNjDR5Kcw99l","HH",-11.58,1,1,2,1,1,"HLLH","LH",15,60,NA,36.4285714285714
"R_25MhNjDR5Kcw99l","HH",-11.58,1,1,2,1,1,"HLLL","HL",20,26.6666666666667,NA,23.0769230769231
"R_25MhNjDR5Kcw99l","HH",-11.58,1,1,2,1,1,"HLLL","LL",10,40,NA,77.6923076923077
"R_25MhNjDR5Kcw99l","HH",-11.58,1,1,2,1,1,"LHLH","LH",15,60,NA,50.5882352941176
"R_25MhNjDR5Kcw99l","HH",-11.58,1,1,2,1,1,"LHLL","LH",15,60,NA,1.33333333333333
"R_25MhNjDR5Kcw99l","HH",-11.58,1,1,2,1,1,"LHLL","LL",15,60,NA,100
"R_25MhNjDR5Kcw99l","HH",-11.58,1,1,2,1,1,"LLLL","LL",10,40,NA,50.7692307692308
"R_3D0Uq4ctL23d3kf","HH",7.82,4,1,3,3,2,"HHHH","HH",75,100,NA,50.1960784313725
"R_3D0Uq4ctL23d3kf","HH",7.82,4,1,3,3,2,"HHHL","HH",60,80,NA,50.2222222222222
"R_3D0Uq4ctL23d3kf","HH",7.82,4,1,3,3,2,"HHHL","HL",60,80,NA,50.2222222222222
"R_3D0Uq4ctL23d3kf","HH",7.82,4,1,3,3,2,"HHLH","HH",60,80,NA,50.2941176470588
"R_3D0Uq4ctL23d3kf","HH",7.82,4,1,3,3,2,"HHLH","LH",15,60,NA,50.2941176470588
"R_3D0Uq4ctL23d3kf","HH",7.82,4,1,3,3,2,"HHLL","HH",60,80,NA,50.3125
"R_3D0Uq4ctL23d3kf","HH",7.82,4,1,3,3,2,"HHLL","LL",15,60,NA,50.3125
"R_3D0Uq4ctL23d3kf","HH",7.82,4,1,3,3,2,"HLHL","HL",50,66.6666666666667,NA,50.2564102564103
"R_3D0Uq4ctL23d3kf","HH",7.82,4,1,3,3,2,"HLLH","HL",50,66.6666666666667,NA,50.3571428571429
"R_3D0Uq4ctL23d3kf","HH",7.82,4,1,3,3,2,"HLLH","LH",15,60,NA,50.3571428571429
"R_3D0Uq4ctL23d3kf","HH",7.82,4,1,3,3,2,"HLLL","HL",50,66.6666666666667,NA,50.3846153846154
"R_3D0Uq4ctL23d3kf","HH",7.82,4,1,3,3,2,"HLLL","LL",20,80,NA,50.3846153846154
"R_3D0Uq4ctL23d3kf","HH",7.82,4,1,3,3,2,"LHLH","LH",25,100,NA,50.5882352941176
"R_3D0Uq4ctL23d3kf","HH",7.82,4,1,3,3,2,"LHLL","LH",15,60,NA,50.6666666666667
"R_3D0Uq4ctL23d3kf","HH",7.82,4,1,3,3,2,"LHLL","LL",15,60,NA,50.6666666666667
"R_3D0Uq4ctL23d3kf","HH",7.82,4,1,3,3,2,"LLLL","LL",20,80,NA,50.7692307692308
"R_xsgvbGAR7CGVYOt","HH",30.09,3,3,4,4,4,"HHHH","HH",20,26.6666666666667,NA,50.1960784313725
"R_xsgvbGAR7CGVYOt","HH",30.09,3,3,4,4,4,"HHHL","HH",20,26.6666666666667,NA,50.2222222222222
"R_xsgvbGAR7CGVYOt","HH",30.09,3,3,4,4,4,"HHHL","HL",20,26.6666666666667,NA,50.2222222222222
"R_xsgvbGAR7CGVYOt","HH",30.09,3,3,4,4,4,"HHLH","HH",20,26.6666666666667,NA,50.5882352941176
"R_xsgvbGAR7CGVYOt","HH",30.09,3,3,4,4,4,"HHLH","LH",10,40,NA,50
"R_xsgvbGAR7CGVYOt","HH",30.09,3,3,4,4,4,"HHLL","HH",20,26.6666666666667,NA,50
"R_xsgvbGAR7CGVYOt","HH",30.09,3,3,4,4,4,"HHLL","LL",10,40,NA,50.625
"R_xsgvbGAR7CGVYOt","HH",30.09,3,3,4,4,4,"HLHL","HL",20,26.6666666666667,NA,50.2564102564103
"R_xsgvbGAR7CGVYOt","HH",30.09,3,3,4,4,4,"HLLH","HL",20,26.6666666666667,NA,36.4285714285714
"R_xsgvbGAR7CGVYOt","HH",30.09,3,3,4,4,4,"HLLH","LH",10,40,NA,64.2857142857143
"R_xsgvbGAR7CGVYOt","HH",30.09,3,3,4,4,4,"HLLL","HL",20,26.6666666666667,NA,23.8461538461538
"R_xsgvbGAR7CGVYOt","HH",30.09,3,3,4,4,4,"HLLL","LL",10,40,NA,76.9230769230769
"R_xsgvbGAR7CGVYOt","HH",30.09,3,3,4,4,4,"LHLH","LH",10,40,NA,50.5882352941176
"R_xsgvbGAR7CGVYOt","HH",30.09,3,3,4,4,4,"LHLL","LH",10,40,NA,48
"R_xsgvbGAR7CGVYOt","HH",30.09,3,3,4,4,4,"LHLL","LL",10,40,NA,53.3333333333333
"R_xsgvbGAR7CGVYOt","HH",30.09,3,3,4,4,4,"LLLL","LL",10,40,NA,50.7692307692308
"R_BGpFdMWabLAWWOJ","HH",37.48,4,1,1,1,1,"HHHH","HH",60,80,NA,50.1960784313725
"R_BGpFdMWabLAWWOJ","HH",37.48,4,1,1,1,1,"HHHL","HH",60,80,NA,56.8888888888889
"R_BGpFdMWabLAWWOJ","HH",37.48,4,1,1,1,1,"HHHL","HL",60,80,NA,43.5555555555556
"R_BGpFdMWabLAWWOJ","HH",37.48,4,1,1,1,1,"HHLH","HH",60,80,NA,52.9411764705882
"R_BGpFdMWabLAWWOJ","HH",37.48,4,1,1,1,1,"HHLH","LH",15,60,NA,47.6470588235294
"R_BGpFdMWabLAWWOJ","HH",37.48,4,1,1,1,1,"HHLL","HH",60,80,NA,50.625
"R_BGpFdMWabLAWWOJ","HH",37.48,4,1,1,1,1,"HHLL","LL",15,60,NA,50
