"pp","type","endowment","productivity","svo_angle","svo_category","svo_totalself","svo_totalother","pref_1","pref_2","pref_3","pref_4","coop_HH","coop_HL","coop_LH","coop_LL","belief_HH","belief_HL","belief_LH","belief_LL","create_types","create_types_MC","create_types_MC_other","create_pairs_HH","create_pairs_HL","create_pairs_LH","create_pairs_LL","create_pairs_MC","create_pairs_MC_other","fair_con_HHHH_HH","fair_con_HHHL_HH","fair_con_HHHL_HL","fair_con_HHLH_HH","fair_con_HHLH_LH","fair_con_HHLL_HH","fair_con_HHLL_LL","fair_con_HLHL_HL","fair_con_HLLH_HL","fair_con_HLLH_LH","fair_con_HLLL_HL","fair_con_HLLL_LL","fair_con_LHLH_LH","fair_con_LHLL_LH","fair_con_LHLL_LL","fair_con_LLLL_LL","faircoop_MC","faircoop_MC_other","fair_earn_HHHH_HH_1","fair_earn_HHHH_HH_2","fair_earn_HHHL_HH","fair_earn_HHHL_HL","fair_earn_HHLH_HH","fair_earn_HHLH_LH","fair_earn_HHLL_HH","fair_earn_HHLL_LL","fair_earn_HLHL_HL_1","fair_earn_HLHL_HL_2","fair_earn_HLLH_HL","fair_earn_HLLH_LH","fair_earn_HLLL_HL","fair_earn_HLLL_LL","fair_earn_LHLH_LH_1","fair_earn_LHLH_LH_2","fair_earn_LHLL_LH","fair_earn_LHLL_LL","fair_earn_LLLL_LL_1","fair_earn_LLLL_LL_2","fairearn_MC","fairearn_MC_other","inequality_beliefs1_1","inequality_beliefs1_2","inequality_beliefs1_3","inequality_beliefs1_4","inequality_beliefs2_1","inequality_beliefs2_2","inequality_beliefs2_3","inequality_beliefs2_4","inequality_beliefs2_5","inequality_attitudes_1","inequality_attitudes_2","gender","age","country","education","political_orientation","social_ideology","economic_ideology","fair_con_HHHH_HH_rel","fair_con_HHHL_HH_rel","fair_con_HHHL_HL_rel","fair_con_HHLH_HH_rel","fair_con_HHLH_LH_rel","fair_con_HHLL_HH_rel","fair_con_HHLL_LL_rel","fair_con_HLHL_HL_rel","fair_con_HLLH_HL_rel","fair_con_HLLH_LH_rel","fair_con_HLLL_HL_rel","fair_con_HLLL_LL_rel","fair_con_LHLH_LH_rel","fair_con_LHLL_LH_rel","fair_con_LHLL_LL_rel","fair_con_LLLL_LL_rel","fair_earn_HHHH_HH_rel","fair_earn_HHHL_HH_rel","fair_earn_HHHL_HL_rel","fair_earn_HHLH_HH_rel","fair_earn_HHLH_LH_rel","fair_earn_HHLL_HH_rel","fair_earn_HHLL_LL_rel","fair_earn_HLHL_HL_rel","fair_earn_HLLH_HL_rel","fair_earn_HLLH_LH_rel","fair_earn_HLLL_HL_rel","fair_earn_HLLL_LL_rel","fair_earn_LHLH_LH_rel","fair_earn_LHLL_LH_rel","fair_earn_LHLL_LL_rel","fair_earn_LLLL_LL_rel","inequality_beliefs1_1_num","inequality_beliefs1_2_num","inequality_beliefs1_3_num","inequality_beliefs1_4_num","inequality_beliefs2_1_num","inequality_beliefs2_2_num","inequality_beliefs2_3_num","inequality_beliefs2_4_num","inequality_beliefs2_5_num","inequality_attitudes_1_num","inequality_attitudes_2_num","merit","luck"
"R_2zwpOrQ7dFnOTXu","HH",75,1.7,22.57,"Prosocial",1396,1171,"HH","HL","LH","LL",5,0,0,0,20,10,10,25,"HH-LL","Welfare","","HH","HL","LH","LL","Similarity","",0,30,50,40,10,50,20,10,20,10,30,10,10,5,0,0,"Welfare","",128,128,113,113,85,86,80,81,98,98,41,100,65,66,43,43,38,38,33,33,"Similarity","","disagree somewhat","agree somewhat","disagree somewhat","agree somewhat","disagree somewhat","strongly disagree","neither agree
nor disagree","strongly agree","strongly disagree","agree somewhat","agree somewhat","Male",48,"United Kingdom of Great Britain and Northern Ireland","Bachelor's degree in college (4-year)",4,4,5,0,40,66.6666666666667,53.3333333333333,40,66.6666666666667,80,13.3333333333333,26.6666666666667,40,40,40,40,20,0,0,50.1960784313725,50.2222222222222,50.2222222222222,50,50.5882352941176,50,50.625,50.2564102564103,29.2857142857143,71.4285714285714,50,50.7692307692308,50.5882352941176,50.6666666666667,50.6666666666667,50.7692307692308,2,4,2,4,2,1,3,5,1,4,4,2,4
"R_1flsjLvQmts3bYJ","HH",75,1.7,34.88,"Prosocial",1288,1225,"HH","HL","LH","LL",50,50,25,25,50,50,10,10,"HH-LL","Welfare","","LL","LH","HL","HH","Welfare","",75,75,75,75,25,75,25,75,75,25,75,25,25,25,25,25,"Welfare","",128,128,113,113,86,85,81,80,98,98,71,70,66,65,43,43,38,38,33,33,"Similarity","","strongly disagree","neither agree
nor disagree","strongly disagree","disagree somewhat","agree somewhat","disagree somewhat","disagree somewhat","strongly agree","neither agree
nor disagree","strongly agree","strongly agree","Male",43,"United Kingdom of Great Britain and Northern Ireland","Some college but no degree",2,2,2,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50.1960784313725,50.2222222222222,50.2222222222222,50.5882352941176,50,50.625,50,50.2564102564103,50.7142857142857,50,50.7692307692308,50,50.5882352941176,50.6666666666667,50.6666666666667,50.7692307692308,1,3,1,2,4,2,2,5,3,5,5,1,3
"R_QhTRGdxnzlGvW1j","HH",75,1.7,34.88,"Prosocial",1288,1225,"HH","HL","LH","LL",50,50,50,50,25,25,15,10,"HL-LH","Welfare","","LL","LH","HL","HH","Welfare","",75,50,50,50,10,50,10,50,50,15,50,10,25,15,10,25,"Welfare","",128,128,126,100,110,61,110,51,98,98,90,51,91,40,43,43,38,38,33,33,"Inequality","","neither agree
nor disagree","agree somewhat","strongly disagree","neither agree
nor disagree","agree somewhat","disagree somewhat","disagree somewhat","neither agree
nor disagree","neither agree
nor disagree","strongly agree","strongly agree","Female",33,"United Kingdom of Great Britain and Northern Ireland","Associate degree in college (2-year)",5,3,3,100,66.6666666666667,66.6666666666667,66.6666666666667,40,66.6666666666667,40,66.6666666666667,66.6666666666667,60,66.6666666666667,40,100,60,40,100,50.1960784313725,56,44.4444444444444,64.7058823529412,35.8823529411765,68.75,31.875,50.2564102564103,64.2857142857143,36.4285714285714,70,30.7692307692308,50.5882352941176,50.6666666666667,50.6666666666667,50.7692307692308,3,4,1,3,4,2,2,3,3,5,5,3,4
"R_e5Pfw5PKY8z5gGd","HH",75,1.7,37.48,"Prosocial",1281,1233,"HH","HL","LH","LL",60,60,60,60,50,30,15,10,"HL-LH","Inequality","","LL","LH","HL","HH","Inequality","",60,60,60,60,15,60,10,60,50,15,50,10,20,15,10,10,"Inequality","",128,128,113,113,86,85,81,80,98,98,71,70,66,65,43,43,38,38,33,33,"Inequality","","disagree somewhat","neither agree
nor disagree","agree somewhat","strongly agree","agree somewhat","strongly disagree","strongly agree","strongly agree","neither agree
nor disagree","strongly agree","strongly agree","Female",35,"United Kingdom of Great Britain and Northern Ireland","Bachelor's degree in college (4-year)",3,2,3,80,80,80,80,60,80,40,80,66.6666666666667,60,66.6666666666667,40,80,60,40,40,50.1960784313725,50.2222222222222,50.2222222222222,50.5882352941176,50,50.625,50,50.2564102564103,50.7142857142857,50,50.7692307692308,50,50.5882352941176,50.6666666666667,50.6666666666667,50.7692307692308,2,3,4,5,4,1,5,5,3,5,5,2,3
"R_3fYJEm86G15nhe3","HH",75,1.7,34.88,"Prosocial",1303,1233,"HH","HL","LH","LL",25,25,25,25,25,20,5,5,"HH-LL","Welfare","","HH","HL","LH","LL","Similarity","",25,25,20,25,5,25,5,25,25,5,25,5,5,5,5,5,"Welfare","",128,128,113,113,86,85,80,81,98,98,70,71,65,66,43,43,38,38,33,33,"Similarity","","strongly disagree","disagree somewhat","disagree somewhat","agree somewhat","disagree somewhat","disagree somewhat","neither agree
nor disagree","neither agree
nor disagree","disagree somewhat","agree somewhat","agree somewhat","Female",29,"United Kingdom of Great Britain and Northern Ireland","Master's degree",4,4,5,33.3333333333333,33.3333333333333,26.6666666666667,33.3333333333333,20,33.3333333333333,20,33.3333333333333,33.3333333333333,20,33.3333333333333,20,20,20,20,20,50.1960784313725,50.2222222222222,50.2222222222222,50.5882352941176,50,50,50.625,50.2564102564103,50,50.7142857142857,50,50.7692307692308,50.5882352941176,50.6666666666667,50.6666666666667,50.7692307692308,1,2,2,4,2,2,3,3,2,4,4,1,2
"R_tVOSglhK00FeEYV","HH",75,1.7,-5.46,"Individualistic",1451,1016,"LH","HL","LL","HH",20,15,10,25,15,10,20,20,"HL-LH","Random","","HL","LL","HH","LH","Random","",35,40,40,35,10,30,10,35,45,15,30,20,15,20,20,10,"Similarity","",150,106,100,126,86,85,61,100,96,100,70,71,71,60,40,46,46,30,36,30,"Similarity","","strongly disagree","strongly agree","strongly agree","disagree somewhat","neither agree
nor disagree","disagree somewhat","disagree somewhat","strongly agree","agree somewhat","agree somewhat","agree somewhat","Female",26,"United Kingdom of Great Britain and Northern Ireland","High school graduate (high school diploma or equivalent including GED)",4,4,4,46.6666666666667,53.3333333333333,53.3333333333333,46.6666666666667,40,40,40,46.6666666666667,60,60,40,80,60,80,80,40,58.8235294117647,44.4444444444444,56,50.5882352941176,50,38.125,62.5,49.2307692307692,50,50.7142857142857,54.6153846153846,46.1538461538462,47.0588235294118,61.3333333333333,40,55.3846153846154,1,5,5,2,3,2,2,5,4,4,4,1,5
"R_56gf0LkRynfTGet","HH",75,1.7,37.48,"Prosocial",1325,1210,"HH","HL","LH","LL",30,15,15,15,20,15,10,5,"HH-LL","Similarity","","HH","HL","LH","LL","Similarity","",25,25,20,20,5,20,5,25,20,5,20,5,5,5,5,5,"Inequality","",128,128,113,113,86,85,80.5,80.5,98,98,71,70,66,65,43,43,38,38,33,33,"Similarity","","disagree somewhat","agree somewhat","neither agree
nor disagree","agree somewhat","neither agree
nor disagree","strongly disagree","agree somewhat","strongly agree","agree somewhat","agree somewhat","strongly agree","Female",35,"United Kingdom of Great Britain and Northern Ireland","Some college but no degree",4,3,4,33.3333333333333,33.3333333333333,26.6666666666667,26.6666666666667,20,26.6666666666667,20,33.3333333333333,26.6666666666667,20,26.6666666666667,20,20,20,20,20,50.1960784313725,50.2222222222222,50.2222222222222,50.5882352941176,50,50.3125,50.3125,50.2564102564103,50.7142857142857,50,50.7692307692308,50,50.5882352941176,50.6666666666667,50.6666666666667,50.7692307692308,2,4,3,4,3,1,4,5,4,4,5,2,4
"R_3rTnF8oVOJlU88e","HH",75,1.7,7.82,"Individualistic",1455,1075,"LH","LL","HH","HL",10,10,10,10,15,15,15,10,"HH-LL","Inequality","","LL","LH","HL","HH","Welfare","",20,25,20,15,10,10,10,20,10,10,20,10,10,15,10,10,"Welfare","",128,128,113,113,120,51,110,51,98,98,90,51,90,41,43,43,38,38,33,33,"Inequality","","disagree somewhat","strongly disagree","disagree somewhat","neither agree
nor disagree","strongly agree","strongly disagree","strongly disagree","strongly agree","neither agree
nor disagree","agree somewhat","strongly agree","Male",49,"United Kingdom of Great Britain and Northern Ireland","Bachelor's degree in college (4-year)",3,3,3,26.6666666666667,33.3333333333333,26.6666666666667,20,40,13.3333333333333,40,26.6666666666667,13.3333333333333,40,26.6666666666667,40,40,60,40,40,50.1960784313725,50.2222222222222,50.2222222222222,70.5882352941177,30,68.75,31.875,50.2564102564103,64.2857142857143,36.4285714285714,69.2307692307692,31.5384615384615,50.5882352941176,50.6666666666667,50.6666666666667,50.7692307692308,2,1,2,3,5,1,1,5,3,4,5,2,1
"R_3lssoIHOXY9sRfI","HH",75,1.7,34.88,"Prosocial",1295,1215,"HH","HL","LH","LL",0,0,0,0,25,25,10,10,"HL-LH","Similarity","","LL","LH","HL","HH","Similarity","",25,25,25,25,10,25,10,25,25,10,25,10,10,10,10,0,"Similarity","",128,128,98,128,100,71,100,61,98,98,100,41,98,33,43,43,40,36,33,33,"Inequality","","agree somewhat","agree somewhat","disagree somewhat","strongly disagree","agree somewhat","strongly agree","strongly agree","agree somewhat","disagree somewhat","neither agree
nor disagree","neither agree
nor disagree","Male",38,"United Kingdom of Great Britain and Northern Ireland","Master's degree",4,3,3,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,40,33.3333333333333,40,33.3333333333333,33.3333333333333,40,33.3333333333333,40,40,40,40,0,50.1960784313725,43.5555555555556,56.8888888888889,58.8235294117647,41.7647058823529,62.5,38.125,50.2564102564103,71.4285714285714,29.2857142857143,75.3846153846154,25.3846153846154,50.5882352941176,53.3333333333333,48,50.7692307692308,4,4,2,1,4,5,5,4,2,3,3,4,4
"R_10pjsaEifL3gYld","HH",75,1.7,37.48,"Prosocial",1293,1238,"HH","HL","LH","LL",30,30,30,30,30,25,10,10,"HH-LL","Similarity","","HH","LH","LL","HL","Inequality","",30,35,30,30,10,30,10,75,30,10,30,10,25,25,22,25,"Inequality","",128,128,113,113,86,85,105,56,98,98,95,46,75,56,43,43,38,38,33,33,"Inequality","","disagree somewhat","disagree somewhat","disagree somewhat","disagree somewhat","disagree somewhat","disagree somewhat","disagree somewhat","disagree somewhat","disagree somewhat","agree somewhat","neither agree
nor disagree","Female",30,"United Kingdom of Great Britain and Northern Ireland","Bachelor's degree in college (4-year)",4,4,4,40,46.6666666666667,40,40,40,40,40,100,40,40,40,40,100,100,88,100,50.1960784313725,50.2222222222222,50.2222222222222,50.5882352941176,50,65.625,35,50.2564102564103,67.8571428571429,32.8571428571429,57.6923076923077,43.0769230769231,50.5882352941176,50.6666666666667,50.6666666666667,50.7692307692308,2,2,2,2,2,2,2,2,2,4,3,2,2
"R_2ZKbL7tIAhEavGk","HH",75,1.7,17.19,"Individualistic",1332,1149,"HH","LH","HL","LL",35,35,35,35,35,25,10,15,"HH-LL","Welfare","","HH","HL","LH","LL","Similarity","",35,35,35,35,10,35,10,35,35,10,35,10,10,10,10,10,"Similarity","",128,128,113,113,85,86,80,81,98,98,70,71,66,65,43,43,38,38,33,33,"Inequality","","disagree somewhat","agree somewhat","disagree somewhat","disagree somewhat","agree somewhat","neither agree
nor disagree","agree somewhat","neither agree
nor disagree","agree somewhat","agree somewhat","agree somewhat","Male",41,"United Kingdom of Great Britain and Northern Ireland","High school graduate (high school diploma or equivalent including GED)",3,2,2,46.6666666666667,46.6666666666667,46.6666666666667,46.6666666666667,40,46.6666666666667,40,46.6666666666667,46.6666666666667,40,46.6666666666667,40,40,40,40,40,50.1960784313725,50.2222222222222,50.2222222222222,50,50.5882352941176,50,50.625,50.2564102564103,50,50.7142857142857,50.7692307692308,50,50.5882352941176,50.6666666666667,50.6666666666667,50.7692307692308,2,4,2,2,4,3,4,3,4,4,4,2,4
